line_id,line_name,Month,rate_kgph
0,P09,1,730
0,P09,2,735
0,P09,3,735
0,P09,4,735
0,P09,5,735
0,P09,6,739
0,P09,7,744
0,P09,8,748
0,P09,9,753
0,P09,10,757
0,P09,11,762
0,P09,12,766
1,P10,1,618
1,P10,2,618
1,P10,3,618
1,P10,4,618
1,P10,5,618
1,P10,6,674
1,P10,7,674
1,P10,8,674
1,P10,9,674
1,P10,10,674
1,P10,11,730
1,P10,12,730
2,P11,1,786
2,P11,2,791
2,P11,3,791
2,P11,4,791
2,P11,5,791
2,P11,6,795
2,P11,7,800
2,P11,8,804
2,P11,9,809
2,P11,10,813
2,P11,11,818
2,P11,12,822
3,P12,1,618
3,P12,2,622
3,P12,3,622
3,P12,4,622
3,P12,5,622
3,P12,6,627
3,P12,7,631
3,P12,8,636
3,P12,9,640
3,P12,10,645
3,P12,11,649
3,P12,12,654
4,P13,1,764
4,P13,2,768
4,P13,3,768
4,P13,4,768
4,P13,5,768
4,P13,6,773
4,P13,7,777
4,P13,8,782
4,P13,9,786
4,P13,10,791
4,P13,11,795
4,P13,12,800
5,P14,1,702
5,P14,2,706
5,P14,3,706
5,P14,4,706
5,P14,5,706
5,P14,6,711
5,P14,7,715
5,P14,8,720
5,P14,9,724
5,P14,10,729
5,P14,11,733
5,P14,12,738
6,P15,1,640
6,P15,2,645
6,P15,3,645
6,P15,4,645
6,P15,5,645
6,P15,6,649
6,P15,7,654
6,P15,8,658
6,P15,9,663
6,P15,10,667
6,P15,11,672
6,P15,12,676
7,P16,1,824
7,P16,2,827
7,P16,3,827
7,P16,4,827
7,P16,5,827
7,P16,6,829
7,P16,7,831
7,P16,8,833
7,P16,9,836
7,P16,10,840
7,P16,11,842
7,P16,12,842
8,P17,1,1483
8,P17,2,1492
8,P17,3,1492
8,P17,4,1492
8,P17,5,1492
8,P17,6,1501
8,P17,7,1510
8,P17,8,1519
8,P17,9,1528
8,P17,10,1537
8,P17,11,1546
8,P17,12,1555
9,P18,1,1516
9,P18,2,1525
9,P18,3,1525
9,P18,4,1525
9,P18,5,1525
9,P18,6,1534
9,P18,7,1543
9,P18,8,1552
9,P18,9,1561
9,P18,10,1570
9,P18,11,1579
9,P18,12,1588
10,P19,1,1483
10,P19,2,1492
10,P19,3,1492
10,P19,4,1492
10,P19,5,1492
10,P19,6,1501
10,P19,7,1510
10,P19,8,1519
10,P19,9,1528
10,P19,10,1537
10,P19,11,1546
10,P19,12,1555
11,P20,1,1505
11,P20,2,1514
11,P20,3,1514
11,P20,4,1514
11,P20,5,1514
11,P20,6,1523
11,P20,7,1532
11,P20,8,1541
11,P20,9,1550
11,P20,10,1559
11,P20,11,1568
11,P20,12,1577
12,P21,1,1460
12,P21,2,1469
12,P21,3,1469
12,P21,4,1469
12,P21,5,1469
12,P21,6,1478
12,P21,7,1487
12,P21,8,1496
12,P21,9,1505
12,P21,10,1514
12,P21,11,1523
12,P21,12,1532
13,P22,1,1382
13,P22,2,1391
13,P22,3,1391
13,P22,4,1391
13,P22,5,1391
13,P22,6,1400
13,P22,7,1408
13,P22,8,1417
13,P22,9,1426
13,P22,10,1435
13,P22,11,1444
13,P22,12,1453
