from_sku,to_sku,setup_hours,
120430,120431,0,
120430,120433,0,
120430,120434,0,
120430,120436,0,
120430,120437,1,
120430,120444,1,
120430,120448,1,
120430,120450,2,
120430,120451,2,
120430,120453,2,
120430,120463,1,
120430,120464,1,
120430,120531,0,
120430,120532,0,
120430,120533,0,
120430,120534,0,
120430,120535,0,
120430,120536,0,
120430,221800,1,
120430,221801,1,
120430,241283,2,
120430,241287,1,
120430,241288,1,
120430,251200,1,
120430,280013,2,
120430,280045,1,
120430,280052,2,
120430,280090,0,
120430,280103,1,
120430,280104,1,
120430,280105,1,
120430,280106,1,
120430,280107,2,
120430,280121,1,
120430,280128,0,
120430,280129,2,
120430,280130,2,
120430,280131,0,
120430,280164,0,
120430,280166,0,
120430,280169,1,
120430,280181,1,
120430,280212,2,
120430,280213,2,
120430,280222,2,
120430,280233,0,
120430,280234,0,
120430,280235,0,
120430,280244,1,
120430,280245,1,
120430,280246,1,
120430,280247,0,
120430,280256,2,
120430,280264,1,
120430,280281,1,
120430,280298,1,
120430,280318,1,
120430,280322,1,
120430,280323,0,
120430,280324,1,
120430,280325,1,
120430,280344,1,
120430,280345,0,
120430,280347,0,
120430,280348,1,
120430,280351,2,
120430,280355,1,
120430,280356,1,
120430,280357,0,
120430,280358,1,
120430,280359,1,
120430,280375,2,
120430,280376,2,
120430,280377,2,
120430,280378,2,
120430,280379,2,
120430,280380,2,
120430,280383,0,
120430,280384,0,
120430,280385,0,
120430,280391,1,
120430,280397,2,
120430,280399,1,
120430,280405,2,
120430,280412,1,
120430,280421,1,
120430,280425,2,
120430,280426,2,
120430,280432,1,
120430,280434,1,
120430,280436,2,
120430,280437,1,
120430,280450,1,
120430,280451,1,
120430,280452,1,
120430,280453,1,
120430,280454,1,
120430,280459,1,
120430,280464,0,
120430,280465,0,
120430,280466,0,
120430,280467,0,
120430,280468,0,
120430,280469,0,
120430,280473,0,
120430,280474,0,
120430,280477,1,
120430,280478,1,
120430,280480,2,
120430,280481,0,
120430,280488,2,
120430,280489,1,
120430,280490,1,
120430,280493,1,
120430,280496,0,
120430,280497,0,
120430,280516,1,
120430,280517,1,
120430,280520,1,
120430,280521,1,
120430,280522,1,
120430,280525,0,
120430,280526,0,
120430,280528,0,
120430,280529,0,
120430,280532,0,
120430,280539,2,
120430,280541,1,
120430,280557,1,
120430,280558,1,
120430,280559,1,
120430,280563,1,
120430,280564,1,
120430,280566,1,
120430,280567,1,
120430,280570,1,
120430,280571,0,
120430,280572,1,
120430,280573,1,
120430,280574,1,
120430,280575,1,
120430,280576,1,
120430,280578,1,
120430,280579,1,
120430,280580,1,
120430,280581,1,
120430,280582,1,
120430,280583,0,
120430,280584,1,
120430,280585,1,
120430,280586,1,
120430,280587,1,
120430,280588,1,
120430,280589,1,
120430,280590,0,
120430,280591,1,
120430,280592,1,
120430,280601,0,
120430,280602,0,
120430,280605,0,
120430,280606,0,
120430,280607,0,
120430,280608,0,
120430,280609,0,
120430,280610,0,
120430,280611,0,
120430,280612,0,
120430,280613,0,
120430,280614,0,
120430,280615,0,
120430,280616,0,
120430,280617,0,
120430,280622,0,
120430,280623,0,
120430,280624,0,
120430,280641,1,
120430,280642,1,
120430,280643,1,
120430,280644,1,
120430,280645,1,
120430,280646,1,
120430,280647,1,
120430,280652,0,
120430,280653,0,
120430,280655,2,
120430,280659,1,
120430,280660,1,
120430,280661,1,
120430,280662,1,
120430,280673,1,
120430,280674,1,
120430,280676,1,
120430,280677,1,
120430,280679,1,
