block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
pdf_4e538f4466,trial,-9,P00,144.017,144.017,TRIAL,29898,,MISCON,4.32,False,pdf_import
pdf_d7fec578a3,production,0,P09,168.017,188.077,570468,29901,570468,2X22X90 VP APL-BAN GGS CAN,15048.0,False,pdf_import
pdf_4da690de0f,cip,0,P09,175.0,181.0,CIP,29959,,CIP,4501.44,False,pdf_import
pdf_bda795e48d,production,0,P09,212.05,240.71,280581,29899,280581,6X10X90 FV VP APECSWP- ASTBZUC,21497.4,False,pdf_import
pdf_49f688f624,trial,1,P10,144.017,168.017,TRIAL,29954,,TRIALS,18407.52,False,pdf_import
pdf_760e8240d5,production,1,P10,168.017,290.577,280351,29902,280351,1X24X90 KIRK ORG STBSPN- MANPEC,94001.04,False,pdf_import
pdf_946e0b9926,cip,1,P10,202.0,208.0,CIP,29960,,CIP,4605.12,False,pdf_import
pdf_9c065c3460,trial,3,P12,144.017,184.017,TRIAL,29908,,TRIALS,30006.72,False,pdf_import
pdf_4f890dd5de,cip,3,P12,155.0,161.0,CIP,29961,,CIP,4501.44,False,pdf_import
pdf_e28f97b0a9,production,3,P12,168.017,185.237,280375,29903,280375,6x8x110 GUTZY ORG ARSPBLBBET,12941.28,False,pdf_import
pdf_9d883af927,production,3,P12,185.233,196.143,280397,29904,280397,6X8X110 GUTZY ORGPRO BANBLUACA,8199.84,False,pdf_import
pdf_a76f5555ea,production,3,P12,200.967,212.947,280612,29905,280612,9X4X100 SLY STBLEM GGS,9000.0,False,pdf_import
pdf_74b6b89c48,production,3,P12,212.933,239.553,280611,29906,280611,9X4X100 SLY BLURSB GGS,20001.6,False,pdf_import
pdf_075e18459b,production,3,P12,239.533,266.143,280614,29907,280614,6X10X100 SLY STBLEM GGS,19998.0,False,pdf_import
pdf_1507454a2e,cip,3,P12,275.0,281.0,CIP,29962,,CIP,4501.44,False,pdf_import
pdf_2cde1c832e,production,5,P14,168.017,180.017,280602,29909,280602,6X4X90 FV ABERCAR GGS,9000.72,False,pdf_import
pdf_b0b3a0aa8b,production,5,P14,180.0,204.81,280345,29910,280345,6X4X90 APL APL GGS,18608.4,False,pdf_import
pdf_c5bcbe6227,production,5,P14,204.8,231.35,280347,29911,280347,6X4X90 APL STB GGS,19919.52,False,pdf_import
pdf_00a73a3ad4,cip,5,P14,213.0,219.0,CIP,29963,,CIP,4501.44,False,pdf_import
pdf_37f3fac223,production,5,P14,231.35,244.68,120532,29912,120532,12X4X90 ASTB GGS CAN,10000.8,False,pdf_import
pdf_53625cdd73,production,5,P14,244.667,292.397,120436,29913,120436,6X12X90 APL GGS,35802.0,False,pdf_import
pdf_641b6962d4,trial,6,P15,144.017,146.017,TRIAL,29955,,TRIALS,1499.04,False,pdf_import
pdf_f5b1523669,production,6,P15,168.017,201.147,280605,29915,280605,9X4X120 ACTCHU ACIN GGS,24900.48,False,pdf_import
pdf_e1a5ee97c9,production,6,P15,201.15,227.77,280607,29916,280607,6X10X120 ACTCHU ACIN GGS,20001.6,False,pdf_import
pdf_fc5117a1f2,cip,6,P15,215.0,221.0,CIP,29964,,CIP,4501.44,False,pdf_import
pdf_84b8f63a0c,production,6,P15,227.75,271.4,280610,29917,280610,1X36X120 ACTCHU ACIN FS,32801.76,False,pdf_import
pdf_6feeddf515,production,7,P16,168.017,214.667,280264,29918,280264,6X12X90 WALMRT F&V PEC-BER- STB,34998.48,False,pdf_import
pdf_7fa85a1f71,production,7,P16,214.667,254.657,120463,29919,120463,1X48X90 APL GGS FS,29998.08,False,pdf_import
pdf_4db002eb71,cip,7,P16,226.0,232.0,CIP,29965,,CIP,4501.44,False,pdf_import
pdf_1d5fc6b3d8,production,7,P16,254.65,278.64,280563,29920,280563,1X24X90 WMT FV PEC-BER-STB- PER,17999.28,False,pdf_import
pdf_d20046342b,production,7,P16,271.0,301.26,280564,29921,280564,1X24X90 WALMART VP APL-CIN- STB,22699.44,False,pdf_import
pdf_9ae9351776,production,7,P16,288.017,307.687,280592,29922,280592,1X24X90 VP APL-CIN GGS,14759.28,False,pdf_import
pdf_98c37e948f,cip,8,P17,189.0,197.0,CIP,29966,,CIP,12000.96,False,pdf_import
pdf_189760f5b6,production,8,P17,214.667,301.317,280480,29923,280480,1X28X90 ORG VP APL-CIN-PEC- STB,129999.24,False,pdf_import
pdf_2633a8c817,cip,9,P18,219.0,227.0,CIP,29967,,CIP,12000.96,False,pdf_import
pdf_1f7ca1251e,cip,10,P19,165.0,173.0,CIP,29968,,CIP,12000.96,False,pdf_import
pdf_e615c0cf96,production,10,P19,168.017,314.647,280256,29931,280256,1X24X90 KIRKLAND ORG UNSWT APL,220000.32,False,pdf_import
pdf_21d0036048,production,11,P20,168.017,195.747,280169,29933,280169,6X12X90 FV VP APECSWP- ASTBZUC,41601.6,False,pdf_import
pdf_959ab255c8,production,11,P20,195.733,220.533,120448,29957,120448,6X12X90 ACIN GGS,37201.68,False,pdf_import
pdf_07df467cee,cip,11,P20,198.0,206.0,CIP,29969,,CIP,12000.96,False,pdf_import
pdf_58af1727a1,production,11,P20,217.0,247.0,280583,29958,280583,4X16X90 APL GGS,45002.88,False,pdf_import
pdf_e848f731e2,production,11,P20,240.0,313.32,280480,29934,280480,1X28X90 ORG VP APL-CIN-PEC- STB,110000.52,False,pdf_import
pdf_141fda1afa,production,12,P21,168.017,205.877,280490,29935,280490,1X28X90 FV VP ASTBZUC- APERCAR,56800.8,False,pdf_import
pdf_34b23c23c0,production,12,P21,205.867,251.527,280591,29936,280591,1X24X90 VP APL-BAN-STB GGS,68500.08,False,pdf_import
pdf_2eb02e8c1d,cip,12,P21,239.0,247.0,CIP,29970,,CIP,12009.6,False,pdf_import
pdf_64eab362a9,production,12,P21,251.517,271.517,280212,29937,280212,1X24X90 ORG VP APL-CIN-BAN- STB,30000.24,False,pdf_import
pdf_42e0047be0,production,12,P21,264.0,320.65,280480,29938,280480,1X28X90 ORG VP APL-CIN-PEC- STB,84999.6,False,pdf_import
pdf_695f7e2ad9,trial,13,P22,144.017,264.017,TRIAL,29939,,TRIALS,180040.32,False,pdf_import
pdf_a55d7fa92f,cip,13,P22,175.0,183.0,CIP,29971,,CIP,12009.6,False,pdf_import
pdf_6508489bb0,production,13,P22,272.0,311.99,120448,29940,120448,6X12X90 ACIN GGS,59998.32,False,pdf_import
pdf_dc708e3566,cip,13,P22,295.0,303.0,CIP,29972,,CIP,12009.6,False,pdf_import
