block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
cs_82b08cb233,production,0,P09,0.0,22.115,280450,29900,280450,6X12X90 TROP MANGVA-PINPAS CAN,18001.44,True,current_state:running;pct=99.8;started=2026-08-11T00:53;clamped_to_anchor
cs_48c436549b,production,0,P09,22.115,35.0,251200,30048,251200,6X12X90 VP APL-STB GGS CAN,9998.64,False,current_state:queued;pct=0.0;split
cs_484d9d927e,cip,0,P09,35.0,41.0,CIP,,,,0.0,True,current_state:cip_scheduled
cs_8c3bdeaacd,production,0,P09,41.0,114.095,280323,30050,280323,1X32X90 APL GGS,58999.68,False,current_state:queued;pct=0.0
cs_d76fe69658,production,0,P09,114.095,155.0,280323,30033,280323,1X32X90 APL GGS,33219.3,False,current_state:queued;pct=0.0;split
cs_ff7f275910,cip,0,P09,155.0,161.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_d76fe69658,production,0,P09,161.0,192.745,280323,30033,280323,1X32X90 APL GGS,25780.38,False,current_state:queued;pct=0.0;split
cs_8bd95de377,production,0,P09,192.745,219.935,280566,29990,280566,6X12X90 WMT FV PERZU-MAPU-STSQ,20399.04,False,current_state:queued;pct=0.0
cs_ae5808f70b,production,0,P09,219.935,233.265,251200,29991,251200,6X12X90 VP APL-STB GGS CAN,9998.64,False,current_state:queued;pct=0.0
cs_f76b5ca1ed,production,0,P09,233.265,273.255,280264,29992,280264,6X12X90 WALMRT F&V PEC-BER-STB,30002.4,False,current_state:queued;pct=0.0
cs_3310802f4a,cip,0,P09,275.0,281.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_c4bcb9d94e,cip,0,P09,395.0,401.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_cead457ffe,production,1,P10,0.0,85.0,280351,29902,280351,1X24X90 KIRK ORG STBSPN-MANPEC,117936.16,True,current_state:running;pct=53.8;started=2026-08-09T00:15;clamped_to_anchor;split
