Year Start,Month Start,Day Start,Machine,Product,Tons,gen_idtypemaille,Year End,Month End,Day End,Hours
2026,10,12,P02,120436,18.931,4,2026,10,19,24.413
2026,11,23,P02,120436,17.463,4,2026,11,30,23
2027,2,8,P02,120436,34.807,4,2027,2,15,46.709
2027,7,19,P02,120436,94.312,4,2027,7,26,126.559
2027,11,1,P02,120436,17.208,4,2027,11,8,23.092
2026,9,7,P02,120464,49.14,4,2026,9,14,64.175
2026,9,14,P02,120464,29.297,4,2026,9,21,38.261
2026,9,28,P02,120464,53.296,4,2026,10,5,68.73
2026,11,2,P02,120464,45.156,4,2026,11,9,59.476
2026,11,9,P02,120464,18,4,2026,11,16,23.708
2026,11,30,P02,120464,43.97,4,2026,12,7,59.176
2026,12,7,P02,120464,69.74,4,2026,12,14,93.858
2026,12,14,P02,120464,27.4,4,2026,12,21,36.876
2027,1,11,P02,120464,46.773,4,2027,1,18,62.766
2027,2,1,P02,120464,41.746,4,2027,2,8,56.02
2027,2,15,P02,120464,40.532,4,2027,2,22,54.391
2027,3,1,P02,120464,24.517,4,2027,3,8,32.899
2027,3,22,P02,120464,81.742,4,2027,3,29,109.691
2027,4,5,P02,120464,47.942,4,2027,4,12,64.334
2027,5,3,P02,120464,96.761,4,2027,5,10,129.845
2027,6,14,P02,120464,81.131,4,2027,6,21,108.871
2027,8,9,P02,120464,81.742,4,2027,8,16,109.691
2027,8,30,P02,120464,41.85,4,2027,9,6,56.159
2027,9,6,P02,120464,45.602,4,2027,9,13,61.195
2027,9,20,P02,120464,37.382,4,2027,9,27,50.164
2027,9,27,P02,120464,34.944,4,2027,10,4,46.892
2027,10,4,P02,120464,93.152,4,2027,10,11,125.002
2027,10,11,P02,120464,50.039,4,2027,10,18,67.148
2027,10,25,P02,120464,84.798,4,2027,11,1,113.792
2027,11,1,P02,120464,19.552,4,2027,11,8,26.237
2027,11,29,P02,120464,76.243,4,2027,12,6,102.312
2027,12,6,P02,120464,25.039,4,2027,12,13,33.6
2027,12,13,P02,120464,94.403,4,2027,12,20,126.682
2028,1,3,P02,120464,22.162,4,2028,1,10,29.74
2028,1,17,P02,120464,9.324,4,2028,1,24,12.513
2026,8,24,P02,241287,29.619,4,2026,8,31,39.123
2026,9,7,P02,241287,25.991,4,2026,9,14,33.943
2026,9,14,P02,241287,24.549,4,2026,9,21,32.059
2026,9,21,P02,241287,30.083,4,2026,9,28,39.288
2026,10,5,P02,241287,78.363,4,2026,10,12,101.056
2026,10,26,P02,241287,19.374,4,2026,11,2,24.985
2026,11,9,P02,241287,33.752,4,2026,11,16,44.455
2026,11,30,P02,241287,51.67,4,2026,12,7,69.539
2026,12,7,P02,241287,18,4,2026,12,14,24.225
2027,1,4,P02,241287,38.93,4,2027,1,11,52.241
2027,1,18,P02,241287,18,4,2027,1,25,24.155
2027,1,25,P02,241287,27.129,4,2027,2,1,36.405
2027,2,8,P02,241287,24.494,4,2027,2,15,32.869
2027,2,15,P02,241287,26.318,4,2027,2,22,35.316
2027,2,22,P02,241287,24.765,4,2027,3,1,33.233
2027,3,1,P02,241287,23.975,4,2027,3,8,32.173
2027,3,8,P02,241287,25.15,4,2027,3,15,33.749
2027,4,12,P02,241287,99.742,4,2027,4,19,133.845
2027,4,19,P02,241287,43.351,4,2027,4,26,58.174
2027,5,10,P02,241287,69.538,4,2027,5,17,93.314
2027,5,24,P02,241287,43.425,4,2027,5,31,58.273
2027,6,21,P02,241287,44.576,4,2027,6,28,59.817
2027,8,2,P02,241287,18.837,4,2027,8,9,25.278
2027,8,16,P02,241287,112.525,4,2027,8,23,151
2027,8,30,P02,241287,32.034,4,2027,9,6,42.987
2027,9,6,P02,241287,29.946,4,2027,9,13,40.185
2027,9,13,P02,241287,28.936,4,2027,9,20,38.83
2027,9,20,P02,241287,27.234,4,2027,9,27,36.546
2027,9,27,P02,241287,25.836,4,2027,10,4,34.67
2027,10,18,P02,241287,29.143,4,2027,10,25,39.108
2027,11,1,P02,241287,13.286,4,2027,11,8,17.829
2027,12,6,P02,241287,83.251,4,2027,12,13,111.716
2027,12,20,P02,241287,3.281,4,2027,12,27,4.402
2028,1,10,P02,241287,19.53,4,2028,1,17,26.208
2026,9,7,P02,241288,20.09,4,2026,9,14,26.237
2026,11,2,P02,241288,18,4,2026,11,9,23.708
2027,1,25,P02,241288,35.917,4,2027,2,1,48.198
2027,3,8,P02,241288,22.792,4,2027,3,15,30.585
2027,4,19,P02,241288,36.666,4,2027,4,26,49.203
2027,5,3,P02,241288,18,4,2027,5,10,24.155
2027,5,10,P02,241288,18,4,2027,5,17,24.155
2027,5,31,P02,241288,18,4,2027,6,7,24.155
2027,8,23,P02,241288,18,4,2027,8,30,24.155
2027,9,13,P02,241288,18,4,2027,9,20,24.155
