line_id,sku,line_name,capable,rate_kgph
0,120435,P09,1,716.0
1,120435,P10,0,635.0
2,120435,P11,1,770.0
3,120435,P12,1,608.0
4,120435,P13,1,748.0
5,120435,P14,1,689.0
6,120435,P15,1,630.0
7,120435,P16,0,800.0
8,120435,P17,0,1454.0
9,120435,P18,0,1486.0
10,120435,P19,0,1454.0
11,120435,P20,0,1475.0
12,120435,P21,0,1432.0
13,120435,P22,0,1356.0
0,120436,P09,1,716.0
1,120436,P10,0,635.0
2,120436,P11,1,770.0
3,120436,P12,1,608.0
4,120436,P13,1,748.0
5,120436,P14,1,689.0
6,120436,P15,1,630.0
7,120436,P16,1,800.0
8,120436,P17,1,1454.0
9,120436,P18,0,1486.0
10,120436,P19,0,1454.0
11,120436,P20,1,1475.0
12,120436,P21,0,1432.0
13,120436,P22,1,1356.0
0,120437,P09,1,716.0
1,120437,P10,0,635.0
2,120437,P11,1,770.0
3,120437,P12,1,608.0
4,120437,P13,1,748.0
5,120437,P14,1,689.0
6,120437,P15,1,630.0
7,120437,P16,0,800.0
8,120437,P17,1,1454.0
9,120437,P18,0,1486.0
10,120437,P19,0,1454.0
11,120437,P20,1,1475.0
12,120437,P21,0,1432.0
13,120437,P22,0,1356.0
0,120444,P09,1,716.0
1,120444,P10,0,635.0
2,120444,P11,1,770.0
3,120444,P12,1,608.0
4,120444,P13,1,748.0
5,120444,P14,1,689.0
6,120444,P15,1,630.0
7,120444,P16,1,800.0
8,120444,P17,0,1454.0
9,120444,P18,0,1486.0
10,120444,P19,0,1454.0
11,120444,P20,0,1475.0
12,120444,P21,0,1432.0
13,120444,P22,1,1356.0
0,120445,P09,1,716.0
1,120445,P10,0,635.0
2,120445,P11,1,770.0
3,120445,P12,1,608.0
4,120445,P13,1,748.0
5,120445,P14,1,689.0
6,120445,P15,0,630.0
7,120445,P16,0,800.0
8,120445,P17,0,1454.0
9,120445,P18,0,1486.0
10,120445,P19,0,1454.0
11,120445,P20,0,1475.0
12,120445,P21,0,1432.0
13,120445,P22,0,1356.0
0,120448,P09,1,716.0
1,120448,P10,0,635.0
2,120448,P11,1,770.0
3,120448,P12,1,608.0
4,120448,P13,1,748.0
5,120448,P14,1,689.0
6,120448,P15,1,630.0
7,120448,P16,1,800.0
8,120448,P17,1,1454.0
9,120448,P18,0,1486.0
10,120448,P19,0,1454.0
11,120448,P20,1,1475.0
12,120448,P21,0,1432.0
13,120448,P22,1,1356.0
0,120450,P09,0,716.0
1,120450,P10,0,635.0
2,120450,P11,0,770.0
3,120450,P12,1,608.0
4,120450,P13,1,748.0
5,120450,P14,1,689.0
6,120450,P15,0,630.0
7,120450,P16,0,800.0
8,120450,P17,0,1454.0
9,120450,P18,0,1486.0
10,120450,P19,0,1454.0
11,120450,P20,0,1475.0
12,120450,P21,0,1432.0
13,120450,P22,0,1356.0
0,120451,P09,0,716.0
1,120451,P10,0,635.0
2,120451,P11,0,770.0
3,120451,P12,1,608.0
4,120451,P13,0,748.0
5,120451,P14,1,689.0
6,120451,P15,0,630.0
7,120451,P16,0,800.0
8,120451,P17,0,1454.0
9,120451,P18,0,1486.0
10,120451,P19,0,1454.0
11,120451,P20,0,1475.0
12,120451,P21,0,1432.0
13,120451,P22,0,1356.0
0,120453,P09,0,716.0
1,120453,P10,0,635.0
2,120453,P11,0,770.0
3,120453,P12,1,608.0
4,120453,P13,0,748.0
5,120453,P14,1,689.0
6,120453,P15,0,630.0
7,120453,P16,0,800.0
8,120453,P17,0,1454.0
9,120453,P18,0,1486.0
10,120453,P19,0,1454.0
11,120453,P20,0,1475.0
12,120453,P21,0,1432.0
13,120453,P22,0,1356.0
0,120463,P09,0,716.0
1,120463,P10,0,635.0
2,120463,P11,0,770.0
3,120463,P12,0,608.0
4,120463,P13,0,748.0
5,120463,P14,0,689.0
6,120463,P15,1,630.0
7,120463,P16,1,800.0
8,120463,P17,0,1454.0
9,120463,P18,0,1486.0
