ID,LineEquipment,PreviousCIP,MaxHoursBetweenCIP,ScheduledCIP,Notes
1,P09,NULL,120,NULL,NULL
2,P10,2026-08-05 10:18:00.000,144,NULL,anti-static needs worked on during CIP. WO#569452
3,P11,NULL,144,NULL,NULL
4,P12,2026-08-04 11:18:00.000,120,NULL,NULL
5,P13,NULL,144,NULL,NULL
6,P14,2026-08-02 06:01:00.000,120,2026-08-06 21:00:00.000,NULL
7,P15,2026-08-06 17:03:00.000,144,2026-08-05 23:00:00.000,Run to film and CIP. NK
8,P16,2026-08-07 01:42:00.000,144,2026-08-13 01:00:00.000,NULL
9,P17,2026-08-05 21:37:00.000,120,NULL,NULL
10,P18,2026-08-02 03:51:00.000,120,2026-08-07 03:00:00.000,QA will have CIP validations during this CIP. NK
11,P19,2026-08-04 21:46:00.000,120,2026-08-09 21:00:00.000,NULL
12,P20,2026-08-06 06:18:00.000,120,NULL,NULL
41,P21,2026-08-03 02:00:00.000,120,2026-08-07 23:00:00.000,NULL
42,P22,2026-08-05 07:29:00.000,120,2026-08-09 23:00:00.000,NULL
