Week,Product,kg_tons
33,120436,14.801
33,120448,67.2
33,120463,30
33,120532,10
33,280169,41.6
33,280212,30
33,280256,220
33,280264,35
33,280345,18.608
33,280347,19.919
33,280351,94
33,280375,12.94
33,280421,69.5
33,280450,18
33,280451,91.2
33,280453,50
33,280478,30
33,280480,395
33,280490,56.8
33,280397,11.8
33,280586,80
33,280581,40
33,280563,18
33,280591,68.5
33,280564,22.7
33,280602,9
33,280592,18
33,280611,20
33,280612,14
33,280614,20
33,280605,24.85
33,280607,20
33,570468,15.5
34,120436,20.97
34,120437,33.656
34,120448,118.446
34,120450,10.442
34,120532,13.217
34,241283,30
34,251200,10
34,280107,50
34,280213,53
34,280256,185.341
34,280264,132.129
34,280324,26.552
34,280348,21.82
34,280351,156.993
34,280421,36.577
34,280451,25.884
34,280452,35.515
34,280453,20.877
34,280480,397
34,280490,34.748
34,280572,30
34,280580,30
34,280583,45.12
34,280566,20.37
34,280591,19.038
34,570223,47
34,570261,185.034
34,280622,20
34,280610,18
34,280698,12.55
35,120437,20.021
35,120448,39.819
35,120532,13.072
35,120536,9.399
35,241283,30
35,251200,12.699
35,280090,10.554
35,280103,42.44
35,280104,42.946
35,280121,18
35,280212,54.199
35,280256,167.341
35,280264,21.824
35,280323,18
35,280324,78.583
35,280348,19.861
35,280351,174.993
35,280421,39.876
35,280451,30.006
35,280453,36
35,280478,63.927
35,280480,76.938
35,280490,114.481
35,280559,32
35,280572,50
35,280584,30
35,280585,101.975
35,280586,34.546
35,280581,34.947
35,280566,21.572
35,280563,18.758
35,280590,112.132
35,280602,23
35,280617,22.09
35,570261,91.97
35,280605,10.185
35,280607,12.833
35,570560,35.16
