sku,n_runs,run_hrs_median,run_hrs_p20,run_hrs_p80,run_hrs_max,run_kg_median,run_kg_p20,run_kg_p80,runs_per_year_recent,recent_n_runs,recent_run_hrs_median,recent_run_kg_median
120430,241,26.5,12.0,48.0,144.0,20698.0,9450.0,35923.0,18.5,37,36.0,21630.0
120431,205,29.0,13.4,54.1,114.0,20866.0,10214.0,37951.0,14.5,29,24.0,16901.0
120433,99,24.0,15.0,40.4,72.0,19687.0,10441.0,33118.0,5.0,10,27.0,20012.0
120434,27,24.0,19.0,42.8,96.0,19297.0,11704.0,30357.0,1.0,2,18.0,11259.0
120435,59,24.0,12.0,32.0,65.0,17296.0,7769.0,24434.0,0.0,0,,
120436,449,32.5,12.3,60.0,160.0,25843.0,10623.0,48799.0,46.5,93,36.0,26158.0
120437,344,36.0,14.7,59.0,163.0,27436.0,11831.0,46667.0,26.0,52,27.1,20864.0
120441,3,16.0,10.0,35.2,48.0,5120.0,4671.0,24553.0,0.0,0,,
120442,6,14.5,8.0,16.0,18.0,10817.0,5801.0,13094.0,0.0,0,,
120444,110,24.0,12.0,32.8,91.0,16125.0,7682.0,27561.0,4.0,8,12.0,8429.0
120445,39,24.0,12.0,36.0,104.0,18152.0,8484.0,26008.0,0.0,0,,
120447,11,24.0,12.0,32.0,54.0,14604.0,6678.0,20831.0,0.0,0,,
120448,310,35.3,12.5,60.0,163.0,27420.0,10942.0,50274.0,36.5,73,24.0,23088.0
120450,113,22.9,12.0,31.6,60.0,14846.0,7637.0,22078.0,10.5,21,24.0,14570.0
120451,75,16.0,12.0,24.0,43.0,10596.0,7584.0,16740.0,7.5,15,12.0,9402.0
120452,13,16.0,11.0,19.0,23.0,10991.0,7633.0,11957.0,0.0,0,,
120453,83,18.0,12.0,24.0,48.0,11492.0,7922.0,18068.0,8.0,16,15.0,9544.0
120454,37,15.0,12.0,23.4,36.0,10274.0,7181.0,12756.0,0.0,0,,
120463,41,42.0,24.0,60.0,127.0,26188.0,19194.0,44544.0,12.5,25,42.0,29117.0
120464,286,44.5,20.0,83.0,158.0,37791.0,15400.0,70602.0,27.0,54,36.0,39405.0
