sku,line,hrs,n_runs,share_of_sku_hrs,recent_hrs,recent_n_runs,recent_share_of_sku_hrs,rank_by_recent_hrs
120430,P14,4563.66,121,0.587,946.0,22.0,0.695,1.0
120430,P12,2372.45,81,0.305,365.5,11.0,0.268,2.0
120430,P15,146.0,6,0.019,24.0,1.0,0.018,3.0
120430,P16,277.61,13,0.036,14.18,2.0,0.01,4.0
120430,P09,35.5,4,0.005,12.0,1.0,0.009,5.0
120430,P10,51.0,3,0.007,,,,
120430,P11,225.05,10,0.029,,,,
120430,P13,105.75,3,0.014,,,,
120431,P14,3694.42,105,0.51,763.0,25.0,0.825,1.0
120431,P12,3046.51,81,0.421,162.0,4.0,0.175,2.0
120431,P09,34.0,2,0.005,,,,
120431,P10,50.5,2,0.007,,,,
120431,P11,203.5,5,0.028,,,,
120431,P13,102.48,3,0.014,,,,
120431,P15,39.86,3,0.006,,,,
120431,P16,69.85,4,0.01,,,,
120433,P14,1426.97,47,0.468,258.0,9.0,0.915,1.0
120433,P12,1096.5,34,0.36,24.0,1.0,0.085,2.0
120433,P09,70.02,1,0.023,,,,
120433,P10,178.25,6,0.059,,,,
120433,P11,129.65,6,0.043,,,,
120433,P13,30.0,1,0.01,,,,
120433,P16,114.53,4,0.038,,,,
120434,P14,326.0,11,0.387,36.0,2.0,1.0,1.0
120434,P12,516.5,16,0.613,,,,
120435,P10,16.0,1,0.012,,,,
120435,P11,44.0,2,0.032,,,,
120435,P12,806.45,34,0.592,,,,
120435,P14,489.25,21,0.359,,,,
120435,P15,6.0,1,0.004,,,,
120436,P14,4711.757,117,0.269,1131.5,29.0,0.31,1.0
120436,P20,900.75,17,0.051,612.75,12.0,0.168,2.0
120436,P12,3986.34,103,0.228,555.72,16.0,0.152,3.0
120436,P11,1601.29,47,0.091,552.0,12.0,0.151,4.0
120436,P09,1213.63,29,0.069,314.0,6.0,0.086,5.0
120436,P15,1528.22,44,0.087,205.0,7.0,0.056,6.0
120436,P13,2347.42,52,0.134,137.0,5.0,0.037,7.0
120436,P22,60.0,2,0.003,60.0,2.0,0.016,8.0
120436,P16,814.74,25,0.047,54.0,3.0,0.015,9.0
120436,P17,32.0,1,0.002,32.0,1.0,0.009,10.0
120436,P10,317.9,12,0.018,,,,
120437,P14,4645.667,112,0.34,664.43,23.0,0.392,1.0
120437,P12,3992.15,93,0.292,261.0,7.0,0.154,2.0
120437,P20,245.0,5,0.018,161.0,4.0,0.095,3.0
120437,P11,984.02,27,0.072,118.5,5.0,0.07,4.0
120437,P09,772.25,19,0.057,115.0,2.0,0.068,5.0
120437,P22,112.0,1,0.008,112.0,1.0,0.066,6.0
120437,P17,140.0,3,0.01,76.0,2.0,0.045,7.0
120437,P16,767.04,25,0.056,72.0,3.0,0.043,8.0
120437,P13,1084.67,31,0.079,60.0,3.0,0.035,9.0
120437,P15,541.85,19,0.04,53.0,2.0,0.031,10.0
