mo_start_date,LINE,MO,PRODUCT CODE,Sum of OEE,Max of mo_scheduled_hrs,pouches_produced,pouch_weight_g,kg_per_hr
43102,P09,4869,280068,0.653294574,86,701168,90,733.78
43102,P09,12620,280317,0.817768325,36.53,372816,90,918.52
43102,P10,4870,280068,0.723032714,87,785040,90,812.11
43102,P11,4871,242030,0.774294872,35,338212,90,869.69
43102,P12,4873,120450,0.852732794,19,202200,90,957.79
43102,P12,4874,120451,0.684615385,8,68352,90,768.96
43102,P13,4881,120436,0.868903134,45,487976,90,975.95
43102,P14,4878,120430,0.83202381,35,363428,90,934.53
43103,P11,4872,241658,0.432799145,12,64816,90,486.12
43103,P12,4875,120532,0.813304424,51,517652,90,913.50
43103,P13,4877,120465,0.709714591,42,372004,90,797.15
43103,P14,4879,120435,0.734251252,42.25,387156,90,824.71
43103,P14,4880,120536,0.529807692,8,52896,90,595.08
43104,P11,4913,280040,0.739883814,32,295480,90,831.04
43105,P12,4940,120435,0.767227564,4,38300,90,861.75
43108,P09,4810,280068,0.773076923,8,77184,90,868.32
43108,P09,4910,280068,0.785057471,29,284128,90,881.78
43108,P10,4895,280068,0.659084775,104.5,859552,90,740.28
43108,P11,4927,242030,0.881350902,27,296980,90,989.93
43108,P12,4900,120450,0.900219298,19,213460,90,1011.13
43108,P12,4941,120433,0.744243097,26,241492,90,835.93
43108,P13,4942,120448,0.654338104,43,351144,90,734.95
43108,P14,4924,120430,0.852107252,67,712498,90,957.09
43109,P09,4911,241658,0.748224122,67.5,630304,90,840.41
43109,P11,4928,241288,0.676231971,32,270060,90,759.54
43109,P13,4943,120431,0.798237179,24,239088,90,896.58
43109,P13,4943,120464,0.657932692,24,197064,90,738.99
43110,P11,4916,120444,0.769181774,39.25,376776,90,863.94
43110,P12,4902,280003,0.750891426,32,299876,90,843.40
43110,P14,4925,120431,0.774065171,24,231848,90,869.43
43111,P12,4904,120430,0.740058275,27.5,253988,90,831.23
43111,P13,4929,251200,0.775226244,17,164472,90,870.73
43111,P14,4926,120442,0.698915187,13,113392,90,785.02
43115,P09,4948,242027,0.764380811,91,868092,90,858.55
43115,P10,4950,280068,0.555652681,22,152560,90,624.11
43115,P11,4954,242027,0.766219358,91,870180,90,860.62
43115,P12,4956,120453,0.870985155,19,206528,90,978.29
43115,P12,4958,120451,0.743232249,26,241164,90,834.80
43115,P13,4961,242027,0.762281469,110,1046460,90,856.19
43115,P14,4962,280040,0.793568014,59,584320,90,891.34
43115,P16,4978,120436,0.318289263,16,63556,90,357.50
43116,P10,4952,242027,0.668123543,55,458600,90,750.44
43116,P16,4979,120464,0.547553008,26,177670,90,615.01
43117,P12,4959,120433,0.722809829,24,216496,90,811.86
43117,P14,4963,120444,0.765504808,32,305712,90,859.82
43117,P16,4980,120430,0.521229439,26.5,172381,90,585.44
43118,P09,4949,120437,0.650395695,20.25,164368,90,730.52
43118,P10,4953,120433,0.552040816,12.25,84396,90,620.05
43118,P10,4953,120435,0.415084135,16,82884,90,466.22
43118,P11,4955,120437,0.673527896,19.9,167272,90,756.51
43118,P12,4960,120430,0.822444801,36,369508,90,923.77
43119,P14,4964,120437,0.740005828,11,101588,90,831.17
43122,P09,4981,120448,0.83645362,51,532386,90,939.50
43122,P10,4984,242027,0.729150862,126.75,1153400,90,818.98
43122,P11,4985,120433,0.606318681,35,264840,90,681.02
43122,P12,4991,120444,0.529392213,27,178384,90,594.61
43122,P13,4992,120433,0.658290598,30,246464,90,739.39
43122,P14,4994,242030,0.676694139,35,295580,90,760.06
43122,P16,4999,280040,0.366283792,55.25,252560,90,411.41
43123,P11,4986,120532,0.586598558,16,117132,90,658.87
43123,P12,4988,120435,0.319230769,8,31872,90,358.56
43123,P12,4989,120430,0.769030449,16,153560,90,863.78
43123,P13,4993,120464,0.796544471,96,954324,90,894.68
43123,P14,4995,280040,0.842574786,66,694012,90,946.38
43124,P09,4982,251200,0.731278281,34,310296,90,821.37
43124,P11,4987,120431,0.764529915,76.5,729912,90,858.72
43124,P12,4990,120431,0.816584746,78.25,797444,90,917.19
43124,P16,4997,241658,0.448577834,45.75,256120,90,503.84
43125,P09,4983,120437,0.727119755,44,399276,90,816.70
43126,P14,5000,120436,0.81653312,24,244568,90,917.13
43127,P14,5029,120437,0.923183761,3,34564,90,1036.92
43129,P09,5008,242027,0.692996201,67.5,583780,90,778.37
43129,P10,5009,242027,0.733161117,67,613040,90,823.49
43129,P11,5011,120453,0.675047483,27,227464,90,758.21
43129,P12,5013,120450,0.793927126,19,188256,90,891.74
43129,P12,5014,120442,0.728605769,16,145488,90,818.37
43129,P13,5016,242030,0.795547706,73.5,729740,90,893.56
43129,P14,5018,120436,0.824138921,67,689112,90,925.67
43129,P16,5020,120430,0.441899767,11,60664,90,496.34
43129,P16,5020,120437,0.638341346,8,63732,90,716.99
43129,P16,5020,120464,0.559254808,8,55836,90,628.16
43129,P16,5021,120464,0.619582482,56.5,436880,90,695.92
43130,P11,5012,120536,0.599058494,32,239240,90,672.86
43130,P12,5015,120437,0.691771753,30.5,263316,90,777.00
43130,P12,5015,120442,1.926923077,2,48096,90,2164.32
43131,P10,5055,242027,0.753504888,34.75,326780,90,846.34
43131,P11,5032,280068,0.245248869,8.5,26016,90,275.46
43131,P14,5059,120436,0.571597633,6.5,46368,90,642.02
43132,P09,5054,242027,0.834924532,35.25,367300,90,937.79
43132,P11,5056,280068,0.722961249,33.25,300000,90,812.03
43132,P12,5057,120437,0.761236264,35,332508,90,855.02
43132,P13,5017,280040,0.871628372,19.25,209400,90,979.01
43132,P13,5058,242030,0.592347756,16,118280,90,665.33
43132,P14,5019,120430,0.795984163,34,337752,90,894.05
43132,P16,5022,120437,0.651923077,17.5,142380,90,732.24
43136,P09,5035,242027,0.746371553,53,493680,90,838.32
43136,P10,5037,280068,0.726410256,80,725248,90,815.90
