line,is_double_line,n_skus,n_runs,hrs,kg,rate_kgph,rate_p20,rate_p80,oee_mean_hw,recent_n_runs,recent_hrs,recent_kg,recent_rate_kgph,recent_rate_p20,recent_rate_p80,recent_oee_mean_hw
P09,False,104,1497,58400.0,43647807.0,747.4,649.0,846.6,0.6649,398,13288.6,10069024.0,757.7,667.7,857.1,0.6746
P10,False,55,632,47761.3,35417308.0,741.5,652.8,838.0,0.6605,47,5452.5,3489822.0,640.0,561.3,727.5,0.5719
P11,False,106,1214,55232.4,40893937.0,740.4,643.1,847.3,0.6591,246,10477.6,7459438.0,711.9,613.5,805.8,0.6339
P12,False,94,1785,53804.9,38009217.0,706.4,588.5,837.2,0.6192,340,10846.7,7139304.0,658.2,505.2,811.4,0.568
P13,False,77,1035,55718.2,42483124.0,762.5,669.7,861.6,0.6677,165,10643.9,7397027.0,695.0,630.5,780.8,0.6196
P14,False,76,1758,55750.5,41230870.0,739.6,645.0,842.9,0.6588,450,13272.7,9013092.0,679.1,581.9,798.6,0.6061
P15,False,100,1156,55818.8,42484475.0,761.1,670.2,872.3,0.6711,230,10936.2,7610919.0,695.9,584.4,836.4,0.6108
P16,False,80,983,59956.5,47361234.0,789.9,709.9,875.3,0.7033,268,13754.6,10599726.0,770.6,677.0,862.6,0.6861
P17,True,42,506,27306.3,34690011.0,1270.4,974.4,1519.2,0.5662,184,9728.6,12571897.0,1292.3,1061.1,1505.1,0.5773
P18,True,39,469,25760.7,36313313.0,1409.6,1206.9,1616.2,0.6283,260,13149.7,18276181.0,1389.9,1173.0,1625.3,0.6203
P19,True,16,249,18200.0,26364607.0,1448.6,1285.4,1647.8,0.6455,161,12334.0,17777863.0,1441.4,1268.6,1642.9,0.6426
P20,True,42,374,17271.2,24979265.0,1446.3,1281.0,1666.5,0.6461,306,13972.7,20326271.0,1454.7,1281.5,1682.2,0.6504
P21,True,23,168,10094.8,14363135.0,1422.8,1267.1,1604.7,0.6373,167,10082.8,14347935.0,1423.0,1265.0,1604.7,0.6373
P22,True,33,122,5857.3,8412975.0,1436.3,1230.0,1677.0,0.6436,122,5857.3,8412975.0,1436.3,1230.0,1677.0,0.6436
