line,sku,is_double_line,first_run,last_run,n_runs,hrs,kg,rate_kgph,rate_p20,rate_p80,oee_mean_hw,recent_n_runs,recent_hrs,recent_kg,recent_rate_kgph,recent_rate_p20,recent_rate_p80,recent_oee_mean_hw,low_evidence,capable,calc_rate_kgph,in_capability_table,measured_over_calc,recent_over_calc
P09,120430,False,2018-05-18,2026-02-12,4,35.5,25082.0,706.5,602.3,812.5,0.629,1.0,12.0,9084.0,757.0,757.0,757.0,0.674,False,,,False,,
P09,120431,False,2018-03-22,2020-12-01,2,34.0,21794.0,641.0,572.9,661.0,0.5707,,,,,,,,True,,,False,,
P09,120433,False,2019-11-19,2019-11-19,1,70.0,43500.0,621.2,621.2,621.2,0.5531,,,,,,,,True,,,False,,
P09,120436,False,2018-02-20,2026-02-12,29,1213.6,1001018.0,824.8,768.1,900.8,0.7343,6.0,314.0,265630.0,846.0,768.3,918.2,0.7532,False,1.0,716.0,True,1.152,1.182
P09,120437,False,2018-01-18,2025-02-16,19,772.2,618911.0,801.4,726.1,842.0,0.7135,2.0,115.0,94990.0,826.0,820.1,839.0,0.7354,False,1.0,716.0,True,1.119,1.154
P09,120444,False,2018-02-28,2021-09-12,8,175.0,130435.0,745.3,706.5,793.5,0.6636,,,,,,,,False,1.0,716.0,True,1.041,
P09,120448,False,2018-01-22,2026-02-15,20,688.5,576003.0,836.7,737.8,922.7,0.7449,5.0,91.0,70739.0,777.4,616.4,927.9,0.6921,False,1.0,716.0,True,1.169,1.086
P09,120450,False,2018-04-26,2019-03-25,4,46.8,25952.0,555.1,384.9,747.8,0.4942,,,,,,,,False,0.0,716.0,True,0.775,
P09,120464,False,2018-02-07,2025-01-26,50,2267.5,1854192.0,817.7,758.6,888.2,0.728,7.0,394.7,333140.0,844.0,794.0,903.2,0.7515,False,,,False,,
P09,120465,False,2018-05-21,2018-05-21,1,19.0,9697.0,510.4,510.4,510.4,0.4544,,,,,,,,True,1.0,716.0,True,0.713,
P09,120536,False,2018-04-12,2018-04-12,1,20.5,16965.0,827.6,827.6,827.6,0.7368,,,,,,,,True,1.0,716.0,True,1.156,
P09,241283,False,2019-04-08,2026-07-04,31,1005.5,736086.0,732.1,613.9,816.8,0.6518,6.0,157.5,121000.0,768.3,723.1,828.8,0.684,False,1.0,716.0,True,1.022,1.073
P09,241287,False,2020-04-12,2026-02-04,25,1099.0,872669.0,794.0,729.8,859.3,0.7069,4.0,89.0,66240.0,744.3,703.4,816.8,0.6626,False,,,False,,
P09,241288,False,2018-02-13,2024-01-10,13,597.5,465198.0,778.6,656.8,887.4,0.6932,,,,,,,,False,,,False,,
P09,241658,False,2018-01-09,2018-01-09,1,67.5,56727.0,840.4,840.4,840.4,0.7482,,,,,,,,True,,,False,,
P09,242027,False,2018-01-15,2018-10-08,24,1389.2,1165670.0,839.1,802.5,901.0,0.747,,,,,,,,False,,,False,,
P09,242030,False,2018-04-24,2019-12-02,14,551.2,434803.0,788.8,660.1,918.9,0.7022,,,,,,,,False,,,False,,
P09,251200,False,2018-01-24,2026-08-16,55,1844.0,1299964.0,705.0,614.9,805.7,0.6276,10.0,312.0,224498.0,719.5,619.6,792.4,0.6406,False,1.0,716.0,True,0.985,1.005
P09,280013,False,2020-08-29,2020-08-29,1,8.0,6251.0,781.4,781.4,781.4,0.6957,,,,,,,,True,,,False,,
P09,280039,False,2018-05-21,2018-07-23,3,181.0,147842.0,816.8,716.0,899.1,0.7272,,,,,,,,False,1.0,716.0,True,1.141,
P09,280040,False,2018-09-12,2019-05-01,7,125.8,91030.0,723.9,530.2,866.9,0.6445,,,,,,,,False,,,False,,
P09,280052,False,2018-10-22,2023-09-06,56,3133.5,2417234.0,771.4,694.2,856.5,0.6868,,,,,,,,False,1.0,716.0,True,1.077,
P09,280065,False,2020-09-07,2023-06-03,70,3211.9,2230170.0,694.4,603.6,775.5,0.6182,,,,,,,,False,,,False,,
P09,280068,False,2018-01-02,2020-01-24,9,274.8,205139.0,746.4,622.4,841.5,0.6646,,,,,,,,False,,,False,,
P09,280103,False,2018-07-12,2026-03-29,44,1506.9,1155772.0,767.0,657.4,865.1,0.6829,14.0,335.0,257348.0,768.2,685.1,856.8,0.6839,False,1.0,716.0,True,1.071,1.073
P09,280104,False,2020-02-26,2026-03-22,38,1366.6,984807.0,720.6,639.4,822.0,0.6416,13.0,369.0,262601.0,711.7,623.8,841.6,0.6336,False,1.0,716.0,True,1.006,0.994
P09,280105,False,2018-05-15,2025-11-09,77,3148.9,2405988.0,764.1,680.9,847.1,0.6803,4.0,79.0,62279.0,788.3,747.5,827.4,0.7019,False,,,False,,
P09,280106,False,2020-02-09,2025-10-14,25,1095.6,813413.0,742.5,617.1,830.8,0.661,4.0,115.0,81797.0,711.3,436.2,926.4,0.6333,False,,,False,,
P09,280107,False,2018-06-12,2026-02-03,11,296.6,216706.0,730.7,673.1,850.2,0.6506,4.0,122.6,96357.0,786.1,710.0,871.4,0.6999,False,1.0,716.0,True,1.021,1.098
P09,280114,False,2018-06-13,2018-06-13,1,16.0,9857.0,616.0,616.0,616.0,0.5485,,,,,,,,True,,,False,,
