sku,n_lines,lines,pouch_weight_g,first_run,last_run,single_equiv_n_runs,single_equiv_hrs,single_equiv_kg,single_equiv_rate_kgph,single_equiv_rate_p20,single_equiv_rate_p80,single_equiv_oee_mean_hw,recent_single_equiv_n_runs,recent_single_equiv_hrs,recent_single_equiv_kg,recent_single_equiv_rate_kgph,recent_single_equiv_rate_p20,recent_single_equiv_rate_p80,recent_single_equiv_oee_mean_hw
120430,8,P09|P10|P11|P12|P13|P14|P15|P16,90.0,2018-01-02,2026-04-18,241,7777.0,5721724.0,735.7,626.9,853.8,0.655,37,1361.7,944135.0,693.4,625.4,783.5,0.6173
120431,8,P09|P10|P11|P12|P13|P14|P15|P16,90.0,2018-01-09,2026-04-10,205,7241.1,5226707.0,721.8,626.5,824.1,0.6455,29,925.0,602019.0,650.8,566.6,755.6,0.6015
120433,7,P09|P10|P11|P12|P13|P14|P16,90.0,2018-01-08,2026-02-09,99,3045.9,2234193.0,733.5,654.7,848.4,0.653,10,282.0,181044.0,642.0,447.0,778.4,0.5716
120434,2,P12|P14,90.0,2020-03-15,2024-11-24,27,842.5,579820.0,688.2,624.9,782.3,0.6127,2,36.0,22518.0,625.5,591.6,686.5,0.5569
120435,5,P10|P11|P12|P14|P15,90.0,2018-01-03,2022-11-02,59,1361.7,1028315.0,755.2,660.8,836.1,0.6723,0,0.0,0.0,,,,
120436,11,P09|P10|P11|P12|P13|P14|P15|P16|P17|P20|P22,90.0,2018-01-02,2026-08-16,449,18506.8,14400763.0,778.1,691.4,885.9,0.6928,93,4358.7,3265181.0,749.1,651.1,865.1,0.6669
120437,11,P09|P10|P11|P12|P13|P14|P15|P16|P17|P20|P22,90.0,2018-01-18,2026-09-01,344,14158.8,10965913.0,774.5,676.8,884.0,0.69,52,2041.9,1469653.0,719.7,623.1,842.2,0.6442
120441,2,P10|P14,90.0,2020-03-10,2020-10-07,3,70.0,47001.0,671.4,368.5,824.0,0.5978,0,0.0,0.0,,,,
120442,5,P10|P11|P12|P14|P15,90.0,2018-01-11,2019-08-05,6,77.6,60729.0,782.9,693.3,954.5,0.697,0,0.0,0.0,,,,
120444,8,P09|P10|P11|P12|P13|P14|P15|P16,90.0,2018-01-10,2026-03-15,110,2734.8,2017579.0,737.7,637.3,853.4,0.6568,8,101.5,65622.0,646.5,542.8,748.0,0.5756
