line,from_sku,to_sku,n,recent_n,last_seen,setup_hours,ttp_change,ffs_change,tpld_change,cspkr_change,conv_to_org,cinn_to_non_cinn,added_flavors,cip_req_after,in_changeover_table
P09,280315,280316,11,0,2023-02-23,,,,,,,,,,False
P09,280065,280315,9,0,2023-02-20,,,,,,,,,,False
P09,280315,280065,9,0,2023-03-18,,,,,,,,,,False
P09,280452,280453,8,4,2026-06-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P09,280105,280166,7,0,2023-01-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,True
P09,242027,280105,6,0,2018-10-10,,,,,,,,,,False
P09,280065,280317,6,0,2023-01-28,,,,,,,,,,False
P09,280315,280317,6,0,2023-03-03,,,,,,,,,,False
P09,280421,280451,6,4,2026-09-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P09,280421,280453,6,1,2026-05-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,True
P09,280451,280452,6,3,2026-07-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,True
P09,120436,120448,5,2,2026-02-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P09,251200,120464,5,0,2023-11-01,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
P09,251200,280169,5,0,2023-05-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P09,280065,251200,5,0,2023-06-04,,,,,,,,,,False
P09,280104,280391,5,2,2025-02-09,0.75,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True
P09,280105,242030,5,0,2019-12-01,,,,,,,,,,False
P09,280169,280318,5,0,2024-04-23,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
P09,280316,280317,5,0,2023-05-05,,,,,,,,,,False
P09,280317,280065,5,0,2023-02-09,,,,,,,,,,False
P09,280318,251200,5,0,2023-10-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,True
P09,120464,251200,4,0,2023-07-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,True
P09,120464,280105,4,0,2020-06-28,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P09,241288,120464,4,0,2023-09-27,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
P09,251200,280065,4,0,2023-04-14,,,,,,,,,,False
P09,251200,280315,4,0,2023-03-10,,,,,,,,,,False
P09,280052,280105,4,0,2020-11-08,1.25,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,True
P09,280103,280104,4,0,2024-01-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,True
P09,280104,280105,4,0,2024-05-05,0.75,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True
P09,280105,120464,4,0,2019-09-30,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P09,280105,280103,4,0,2024-06-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P09,280105,280106,4,0,2024-01-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P09,280166,280105,4,0,2019-12-18,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,True
P09,280169,280198,4,0,2021-03-17,,,,,,,,,,False
