line,iso_year,iso_week,n_mo,n_skus,hrs,kg
P09,2018,1,2,2,122.5,96659.0
P09,2018,2,3,2,104.5,89245.0
P09,2018,3,2,2,111.2,92921.0
P09,2018,4,3,3,129.0,111776.0
P09,2018,5,2,1,102.8,85597.0
P09,2018,6,2,2,96.0,74061.0
P09,2018,7,2,2,100.0,90172.0
P09,2018,8,3,3,73.0,62874.0
P09,2018,9,5,3,108.0,91446.0
P09,2018,10,2,2,102.8,85626.0
P09,2018,11,2,2,111.0,97914.0
P09,2018,12,3,3,111.0,91461.0
P09,2018,13,2,2,104.0,89526.0
P09,2018,14,2,2,110.0,87801.0
P09,2018,15,3,3,111.5,89351.0
P09,2018,16,1,1,108.0,90952.0
P09,2018,17,4,3,110.2,89468.0
P09,2018,18,3,2,136.0,116345.0
P09,2018,19,1,1,59.5,53957.0
P09,2018,20,3,3,107.5,92506.0
P09,2018,21,2,2,111.5,92862.0
P09,2018,22,2,1,102.8,94959.0
P09,2018,23,2,2,129.0,108693.0
P09,2018,24,4,4,110.2,89886.0
P09,2018,25,1,1,127.0,113296.0
P09,2018,26,2,2,124.1,115018.0
P09,2018,28,2,2,112.0,90522.0
P09,2018,29,2,2,111.5,88264.0
P09,2018,30,4,3,111.5,95528.0
P09,2018,31,2,1,110.0,96611.0
P09,2018,32,4,3,111.0,72613.0
P09,2018,33,2,2,106.0,97549.0
P09,2018,34,2,2,111.0,96893.0
P09,2018,35,1,1,110.0,97587.0
P09,2018,36,3,2,95.0,64074.0
P09,2018,37,4,4,111.0,93651.0
P09,2018,38,2,2,110.5,97346.0
P09,2018,39,4,4,110.5,96842.0
P09,2018,40,3,3,111.5,89325.0
P09,2018,41,4,3,111.0,91574.0
P09,2018,42,2,2,104.4,97621.0
P09,2018,43,3,3,109.5,87692.0
P09,2018,44,2,1,110.2,99282.0
P09,2018,46,3,2,110.5,86324.0
P09,2018,48,1,1,107.3,86816.0
P09,2018,49,2,2,112.0,97927.0
P09,2018,50,2,2,111.5,96053.0
P09,2018,51,3,2,86.8,76891.0
P09,2019,1,2,1,181.3,142516.0
P09,2019,3,1,1,124.5,100494.0
P09,2019,4,3,3,116.5,74099.0
P09,2019,5,3,2,112.3,79446.0
P09,2019,6,2,2,114.0,94889.0
P09,2019,7,2,2,115.5,86250.0
P09,2019,8,2,2,112.4,94470.0
P09,2019,9,4,3,118.2,94738.0
P09,2019,10,2,2,121.5,95846.0
P09,2019,11,2,2,115.2,88574.0
P09,2019,12,1,1,98.0,76052.0
P09,2019,13,3,3,105.2,79493.0
P09,2019,14,1,1,114.5,87744.0
P09,2019,15,3,3,104.0,77061.0
P09,2019,16,2,2,115.1,92446.0
P09,2019,17,3,2,115.2,90911.0
P09,2019,18,5,4,119.1,95206.0
P09,2019,19,1,1,120.5,100170.0
P09,2019,20,2,2,115.1,79273.0
P09,2019,21,1,1,119.2,92720.0
P09,2019,22,1,1,93.0,59746.0
P09,2019,23,1,1,119.3,87567.0
P09,2019,24,1,1,119.2,90526.0
P09,2019,25,1,1,121.3,106487.0
P09,2019,26,1,1,120.3,93726.0
P09,2019,28,2,2,123.0,85115.0
P09,2019,29,3,2,118.2,99327.0
P09,2019,30,3,3,114.8,90224.0
P09,2019,31,3,2,114.0,85863.0
P09,2019,32,1,1,115.0,100246.0
P09,2019,33,1,1,113.8,94205.0
P09,2019,34,4,3,115.0,86389.0
P09,2019,35,2,1,114.0,88742.0
P09,2019,36,2,2,91.0,75839.0
P09,2019,37,4,3,114.0,84760.0
P09,2019,38,4,3,120.0,100916.0
P09,2019,39,5,3,118.2,93578.0
P09,2019,40,3,1,118.9,109335.0
P09,2019,41,3,3,121.3,91820.0
P09,2019,42,4,3,119.5,91722.0
