Start date;Start time;Line;MO No.;Item;Designation;Pal;Type;Hours;Fct qty (Cas);Qty made (Cas);Fct qty [Kg];;Qty made [Kg];;Left (Cas)
08/02/2026;00:54;LMH-P19;29813;280351;1X24X90 KIRK ORG STBSPN-MANPEC;655;KIRKLAND;146.63;101852;66792;220000.320;Kg;144270.720;Kg;35060
08/09/2026;21:00;LMH-P19;29968;CIP;CIP;;;8.00;2778;;12000.960;Kg;;Kg;2778
08/10/2026;00:01;LMH-P19;29931;280256;1X24X90 KIRKLAND ORG UNSWT APL;655;KIRKLAND;146.63;101852;;220000.320;Kg;;Kg;101852
08/02/2026;00:01;LMH-P20;29850;TRIALS;TRIALS;;;48.00;16671;;72018.720;Kg;;Kg;16671
08/02/2026;00:07;LMH-P20;29892;280344;2X20X90 FV VP BER-PEC-PER DINO;640;GGS;10.59;4414;4440;15890.400;Kg;15984.000;Kg;-26
08/02/2026;19:22;LMH-P20;29848;280104;2X20X90 VP APL-CIN GGS;640;GGS;19.99;8333;8270;29998.800;Kg;29772.000;Kg;63
08/03/2026;12:49;LMH-P20;29814;280103;2X20X90 VP APL-BAN-STB GGS;640;GGS;29.99;12500;11680;45000.000;Kg;42048.000;Kg;820
08/05/2026;08:20;LMH-P20;29849;280585;4X16X90 VP APL-BAN-STB GGS;617;GGS;26.66;6944;1520;39997.440;Kg;8755.200;Kg;5424
08/06/2026;04:38;LMH-P20;29815;280584;4X16X90 FV VP BER-PEC-PER DINO;617;GGS;30.39;7917;;45601.920;Kg;;Kg;7917
08/10/2026;00:01;LMH-P20;29933;280169;6X12X90 FV VP APECSWP-ASTBZUC;635;GGS;27.73;6420;;41601.600;Kg;;Kg;6420
08/11/2026;03:44;LMH-P20;29957;120448;6X12X90 ACIN GGS;635;GGS;24.80;5741;;37201.680;Kg;;Kg;5741
08/11/2026;06:00;LMH-P20;29969;CIP;CIP;;;8.00;2778;;12000.960;Kg;;Kg;2778
08/12/2026;01:00;LMH-P20;29958;280583;4X16X90 APL GGS;617;GGS;30.00;7813;;45002.880;Kg;;Kg;7813
08/13/2026;00:00;LMH-P20;29934;280480;1X28X90 ORG VP APL-CIN-PEC-STB;618;GGS;73.32;43651;;110000.520;Kg;;Kg;43651
08/02/2026;21:08;LMH-P21;29817;280590;1X24X90 APL GGS;613;GGS;33.05;22954;22806;49580.640;Kg;49260.960;Kg;148
08/05/2026;05:53;LMH-P21;29818;280591;1X24X90 VP APL-BAN-STB GGS;613;GGS;46.50;32296;24024;69759.360;Kg;51891.840;Kg;8272
08/06/2026;07:32;LMH-P21;29819;280564;1X24X90 WALMART VP APL-CIN-STB;613;WALMART;20.00;13889;;30000.240;Kg;;Kg;13889
08/07/2026;03:31;LMH-P21;29820;280559;1X24X90 FV VP ASTBZUC-APERCAR;613;GGS;20.00;13889;;30000.240;Kg;;Kg;13889
08/07/2026;07:00;LMH-P21;29866;CIP;CIP;;;8.00;2780;;12009.600;Kg;;Kg;2780
08/07/2026;12:00;LMH-P21;29821;280490;1X28X90 FV VP ASTBZUC-APERCAR;618;GGS;35.33;21032;;53000.640;Kg;;Kg;21032
08/10/2026;00:01;LMH-P21;29935;280490;1X28X90 FV VP ASTBZUC-APERCAR;618;GGS;37.86;22540;;56800.800;Kg;;Kg;22540
08/11/2026;13:52;LMH-P21;29936;280591;1X24X90 VP APL-BAN-STB GGS;613;GGS;45.66;31713;;68500.080;Kg;;Kg;31713
08/12/2026;23:00;LMH-P21;29970;CIP;CIP;;;8.00;2780;;12009.600;Kg;;Kg;2780
08/13/2026;11:31;LMH-P21;29937;280212;1X24X90 ORG VP APL-CIN-BAN-STB;613;GGS;20.00;13889;;30000.240;Kg;;Kg;13889
08/14/2026;00:00;LMH-P21;29938;280480;1X28X90 ORG VP APL-CIN-PEC-STB;618;GGS;56.65;33730;;84999.600;Kg;;Kg;33730
08/02/2026;00:07;LMH-P22;29822;280324;1X32X90 VP APL-CIN-STB-GM5 GGS;705;GGS;44.16;23003;22881;66248.640;Kg;65897.280;Kg;122
08/03/2026;07:27;LMH-P22;29823;280323;1X32X90 APL GGS;705;GGS;20.00;10417;10428;30000.960;Kg;30032.640;Kg;-11
08/04/2026;02:10;LMH-P22;29826;280318;6X12X90 VP APL-MNG-RSPLEM CAN;635;GGS;56.65;13117;13242;84998.160;Kg;85808.160;Kg;-125
08/05/2026;22:10;LMH-P22;29825;251200;6X12X90 VP APL-STB GGS CAN;635;GGS;24.00;5556;;36002.880;Kg;;Kg;5556
08/07/2026;00:55;LMH-P22;29824;280121;6X12X90 VP APL-BLB GGS CAN;635;GGS;20.00;4630;540;30002.400;Kg;3499.200;Kg;4090
08/09/2026;00:01;LMH-P22;29939;TRIALS;TRIALS;;;120.00;41676;;180040.320;Kg;;Kg;41676
08/10/2026;07:00;LMH-P22;29971;CIP;CIP;;;8.00;2780;;12009.600;Kg;;Kg;2780
08/14/2026;08:00;LMH-P22;29940;120448;6X12X90 ACIN GGS;635;GGS;39.99;9259;;59998.320;Kg;;Kg;9259
08/15/2026;07:00;LMH-P22;29972;CIP;CIP;;;8.00;2780;;12009.600;Kg;;Kg;2780
