sku,designation,format,casepacker_format,topload_format,pouch_format,is_organic,has_cinnamon
120435,GGS APL BER 12x4x3.2oz,4x12x90,12,4,90,0,0
120436,6X12X90 APL GGS,6X12X90,6,12,90,0,0
120437,6X12X90 ASTB GGS,6X12X90,6,12,90,0,0
120444,GGS APL BER 6x12x3.2oz,12x6x90,6,12,90,0,0
120445,GGS F&V ABERCAR 12x4x3.2oz,4x12x90,12,4,90,0,0
120448,6X12X90 ACIN GGS,6X12X90,6,12,90,0,1
120450,12X4X90 ORG APL GGS,12X4X90,12,4,90,1,0
120451,12X4X90 ORG ASTB GGS,12X4X90,12,4,90,1,0
120453,12X4X90 ORG ACIN GGS,12X4X90,12,4,90,1,1
120463,GGS APL APL 1x48x3.2oz FS,48x1x90,1,48,90,0,0
120465,GGS GM5 12x4x3.2oz,4x12x90,12,4,90,0,0
120531,GGS APL APL 12x4x90g CAN,4x12x90,12,4,90,0,0
120532,GGS APL STB 12x4x90g CAN,4x12x90,12,4,90,0,0
120536,GGS APL BER 12x4x90g CAN,4x12x90,12,4,90,0,0
241283,6X12X90 ORG VP APL-BAN-STB GGS,6X12X90,6,12,90,1,0
251200,6X12X90 VP APL-STB GGS CAN,6X12X90,6,12,90,0,0
280039,GGS VP (AP-ST-CI) 1X24*3.2oz,24x1x90,1,24,90,0,0
280052,GGS ORG VP APL-CIN-BAN-STB 1x28x3.2oz,28x1x90,1,28,90,1,1
280090,12X4X90 ABLB GGS CAN,12X4X90,12,4,90,0,0
280098,GGS F&V ASTBZUC 12x4x3.2oz,4x12x90,12,4,90,0,0
280103,2X20X90 VP APL-BAN-STB GGS,2X20X90,2,20,90,0,0
280104,2X20X90 VP APL-CIN GGS,2X20X90,2,20,90,0,1
280107,6X12X90 ORG APL GGS,6X12X90,6,12,90,1,0
280121,6X12X90 VP APL-BLB GGS CAN,6X12X90,6,12,90,0,0
280123,GGS ORG VP APL-STB-BAN-CIN 1X20*3.2oz - CAN,20x1x90,1,20,90,1,1
280129,WALMART ORG ACIN 4x12x90g,12x4x90,4,12,90,1,1
280130,WALMART ORG APL UNSWT 4x12x90g,12x4x90,4,12,90,1,0
280134,GGS ACIN 6x12x3.2oz DISNEY PROMO,12x6x90,6,12,90,0,1
280135,GGS VP APL-STB-BAN 6x12x3.2oz DISNEY PROMO,12x6x90,6,12,90,0,0
