sku,line_name,source,mo
280673,P09,Week 18 2026 Production Schedule,28600
251200,P09,Week 18 2026 Production Schedule,28601
280453,P09,Week 18 2026 Production Schedule,28602
280351,P10,Week 18 2026 Production Schedule,28604
280581,P11,Week 18 2026 Production Schedule,28605
280659,P11,Week 18 2026 Production Schedule,28606
280264,P11,Week 18 2026 Production Schedule,28607
280605,P12,Week 18 2026 Production Schedule,28608
280622,P12,Week 18 2026 Production Schedule,28609
120532,P14,Week 18 2026 Production Schedule,28611
120453,P14,Week 18 2026 Production Schedule,28612
280660,P14,Week 18 2026 Production Schedule,28613
280478,P14,Week 18 2026 Production Schedule,28615
280609,P15,Week 18 2026 Production Schedule,28616
280607,P15,Week 18 2026 Production Schedule,28617
280613,P15,Week 18 2026 Production Schedule,28618
120463,P16,Week 18 2026 Production Schedule,28619
280590,P16,Week 18 2026 Production Schedule,28620
280563,P16,Week 18 2026 Production Schedule,28621
280213,P16,Week 18 2026 Production Schedule,28622
280490,P16,Week 18 2026 Production Schedule,28623
280104,P18,Week 18 2026 Production Schedule,28625
280103,P18,Week 18 2026 Production Schedule,28624
280256,P19,Week 18 2026 Production Schedule,28627
280351,P19,Week 18 2026 Production Schedule,28628
280583,P20,Week 18 2026 Production Schedule,28629
280584,P20,Week 18 2026 Production Schedule,28630
280344,P20,Week 18 2026 Production Schedule,28631
280480,P21,Week 18 2026 Production Schedule,28633
280212,P21,Week 18 2026 Production Schedule,28634
280169,P22,Week 18 2026 Production Schedule,28637
280682,P22,Week 18 2026 Production Schedule,28638
280351,P10,Week 32 2026 production schedule,29790
280426,P12,Week 32 2026 production schedule,29842
280436,P12,Week 32 2026 production schedule,29843
280397,P12,Week 32 2026 production schedule,29796
280539,P12,Week 32 2026 production schedule,29844
280377,P12,Week 32 2026 production schedule,29845
280376,P12,Week 32 2026 production schedule,29846
280379,P12,Week 32 2026 production schedule,29847
120448,P14,Week 32 2026 production schedule,29797
280572,P14,Week 32 2026 production schedule,29798
280107,P14,Week 32 2026 production schedule,29799
280090,P14,Week 32 2026 production schedule,29800
280601,P14,Week 32 2026 production schedule,29801
280689,P15,Week 32 2026 production schedule,29802
570560,P16,Week 32 2026 production schedule,29803
280213,P16,Week 32 2026 production schedule,29804
280563,P16,Week 32 2026 production schedule,29805
280425,P16,Week 32 2026 production schedule,29806
280264,P16,Week 32 2026 production schedule,29807
280480,P17,Week 32 2026 production schedule,29808
280686,P18,Week 32 2026 production schedule,29809
280344,P18,Week 32 2026 production schedule,29811
280351,P19,Week 32 2026 production schedule,29813
280103,P20,Week 32 2026 production schedule,29814
280104,P20,Week 32 2026 production schedule,29848
280585,P20,Week 32 2026 production schedule,29849
280584,P20,Week 32 2026 production schedule,29815
280590,P21,Week 32 2026 production schedule,29817
280591,P21,Week 32 2026 production schedule,29818
280564,P21,Week 32 2026 production schedule,29819
280559,P21,Week 32 2026 production schedule,29820
280490,P21,Week 32 2026 production schedule,29821
280323,P22,Week 32 2026 production schedule,29823
280121,P22,Week 32 2026 production schedule,29824
251200,P22,Week 32 2026 production schedule,29825
280660,P09,WW20 2026 Production Schedule,28783
280581,P09,WW20 2026 Production Schedule,28784
280673,P09,WW20 2026 Production Schedule,28785
280566,P09,WW20 2026 Production Schedule,28786
280351,P10,WW20 2026 Production Schedule,28788
280660,P11,WW20 2026 Production Schedule,28789
280264,P11,WW20 2026 Production Schedule,28790
280488,P12,WW20 2026 Production Schedule,28791
280377,P12,WW20 2026 Production Schedule,28792
280378,P12,WW20 2026 Production Schedule,28793
280380,P12,WW20 2026 Production Schedule,28794
280379,P12,WW20 2026 Production Schedule,28795
280436,P12,WW20 2026 Production Schedule,28796
280426,P12,WW20 2026 Production Schedule,28797
280256,P13,WW20 2026 Production Schedule,28798
120532,P14,WW20 2026 Production Schedule,28799
280683,P16,WW20 2026 Production Schedule,28800
280348,P16,WW20 2026 Production Schedule,28801
280213,P16,WW20 2026 Production Schedule,28802
280490,P18,WW20 2026 Production Schedule,28803
280351,P19,WW20 2026 Production Schedule,28804
280256,P19,WW20 2026 Production Schedule,28805
280585,P20,WW20 2026 Production Schedule,28806
280453,P20,WW20 2026 Production Schedule,28808
280323,P22,WW20 2026 Production Schedule,28815
280590,P22,WW20 2026 Production Schedule,28814
280344,P09,WW25 2026 Production Schedule,29216
280586,P09,WW25 2026 Production Schedule,29217
280592,P11,WW25 2026 Production Schedule,29219
280563,P11,WW25 2026 Production Schedule,29220
280264,P11,WW25 2026 Production Schedule,29221
280673,P11,WW25 2026 Production Schedule,29222
280578,P11,WW25 2026 Production Schedule,29267
280397,P12,WW25 2026 Production Schedule,29223
280379,P12,WW25 2026 Production Schedule,29224
280602,P14,WW25 2026 Production Schedule,29226
280601,P14,WW25 2026 Production Schedule,29227
280345,P14,WW25 2026 Production Schedule,29228
280347,P14,WW25 2026 Production Schedule,29229
570475,P14,WW25 2026 Production Schedule,29230
280622,P15,WW25 2026 Production Schedule,29231
280689,P15,WW25 2026 Production Schedule,29232
280652,P15,WW25 2026 Production Schedule,29233
280559,P16,WW25 2026 Production Schedule,29235
280348,P16,WW25 2026 Production Schedule,29238
280686,P18,WW25 2026 Production Schedule,29240
280480,P18,WW25 2026 Production Schedule,29241
570473,P20,WW25 2026 Production Schedule,29244
280585,P20,WW25 2026 Production Schedule,29245
280584,P20,WW25 2026 Production Schedule,29246
280686,P21,WW25 2026 Production Schedule,29247
280591,P21,WW25 2026 Production Schedule,29248
280490,P21,WW25 2026 Production Schedule,29249
280425,P22,WW25 2026 Production Schedule,29251
280107,P22,WW25 2026 Production Schedule,29252
280104,P22,WW25 2026 Production Schedule,29253
280103,P22,WW25 2026 Production Schedule,29254
280581,P09,WW27 Production Schedule REVISED,29378
280169,P09,WW27 Production Schedule REVISED,29379
280264,P09,WW27 Production Schedule REVISED,29380
280344,P09,WW27 Production Schedule REVISED,29382
280351,P10,WW27 Production Schedule REVISED,29383
280298,P11,WW27 Production Schedule REVISED,29451
280683,P11,WW27 Production Schedule REVISED,29454
280682,P11,WW27 Production Schedule REVISED,29455
280660,P11,WW27 Production Schedule REVISED,29456
280612,P12,WW27 Production Schedule REVISED,29452
280613,P12,WW27 Production Schedule REVISED,29384
280572,P14,WW27 Production Schedule REVISED,29448
120436,P14,WW27 Production Schedule REVISED,29416
280090,P14,WW27 Production Schedule REVISED,29417
120532,P14,WW27 Production Schedule REVISED,29418
120451,P14,WW27 Production Schedule REVISED,29419
280689,P15,WW27 Production Schedule REVISED,29449
280652,P15,WW27 Production Schedule REVISED,29391
280610,P15,WW27 Production Schedule REVISED,29392
280607,P15,WW27 Production Schedule REVISED,29457
280622,P15,WW27 Production Schedule REVISED,29458
280264,P16,WW27 Production Schedule REVISED,29393
280348,P16,WW27 Production Schedule REVISED,29394
120463,P16,WW27 Production Schedule REVISED,29395
280490,P18,WW27 Production Schedule REVISED,29396
280213,P18,WW27 Production Schedule REVISED,29397
280480,P18,WW27 Production Schedule REVISED,29398
280256,P19,WW27 Production Schedule REVISED,29400
280351,P19,WW27 Production Schedule REVISED,29401
280104,P20,WW27 Production Schedule REVISED,29404
280103,P20,WW27 Production Schedule REVISED,29405
280585,P20,WW27 Production Schedule REVISED,29420
280584,P20,WW27 Production Schedule REVISED,29406
280686,P21,WW27 Production Schedule REVISED,29407
280591,P21,WW27 Production Schedule REVISED,29408
280590,P21,WW27 Production Schedule REVISED,29409
280323,P21,WW27 Production Schedule REVISED,29421
280490,P22,WW27 Production Schedule REVISED,29411
280480,P22,WW27 Production Schedule REVISED,29412
280212,P22,WW27 Production Schedule REVISED,29413
280323,P22,WW27 Production Schedule REVISED,29415
