sku,ediact_sku_description,ediact_sku_format,recipe,casepacker_format,topload_format,pouch_format,is_organic,flavor_count,has_cinnamon
120430,12X4X90 APL GGS,12X4X90,APL GGS,12,4,90,0,1,0
120431,12X4X90 ASTB GGS,12X4X90,ASTB GGS,12,4,90,0,1,0
120433,12X4X90 ACIN GGS,12X4X90,ACIN GGS,12,4,90,0,1,1
120434,12X4X90 ABAN GGS,12X4X90,ABAN GGS,12,4,90,0,1,0
120436,6X12X90 APL GGS,6X12X90,APL GGS,6,12,90,0,1,0
120437,6X12X90 ASTB GGS,6X12X90,ASTB GGS,6,12,90,0,1,0
120444,6X12X90 ABER GGS,6X12X90,ABER GGS,6,12,90,0,1,0
120448,6X12X90 ACIN GGS,6X12X90,ACIN GGS,6,12,90,0,1,1
120450,12X4X90 ORG APL GGS,12X4X90,ORG APL GGS,12,4,90,1,1,0
120451,12X4X90 ORG ASTB GGS,12X4X90,ORG ASTB GGS,12,4,90,1,1,0
120453,12X4X90 ORG ACIN GGS,12X4X90,ORG ACIN GGS,12,4,90,1,1,1
120463,1X48X90 APL FS,1X48X90,APL FS,1,48,90,0,1,0
120464,6X12X90 VP APL-BAN-STB GGS,6X12X90,VP APL-BAN-STB GGS,6,12,90,0,3,0
120531,12X4X90 APL GGS CAN,12X4X90,APL GGS CAN,12,4,90,0,1,0
120532,12X4X90 ASTB GGS CAN,12X4X90,ASTB GGS CAN,12,4,90,0,1,0
120533,12X4X90 ABAN GGS CAN,12X4X90,ABAN GGS CAN,12,4,90,0,1,0
120534,12X4X90 APEC GGS CAN,12X4X90,APEC GGS CAN,12,4,90,0,1,0
120535,12X4X90 AMNG GGS CAN,12X4X90,AMNG GGS CAN,12,4,90,0,1,0
120536,12X4X90 ABER GGS CAN,12X4X90,ABER GGS CAN,12,4,90,0,1,0
221800,1X18X90 APL APL TRAY GGS,1X18X90,APL APL TRAY GGS,1,18,90,0,1,0
221801,1X18X90 APL CIN TRAY GGS,1X18X90,APL CIN TRAY GGS,1,18,90,0,1,1
241283,6X12X90 ORG VP APL-BAN-STB GGS,6X12X90,ORG VP APL-BAN-STB GGS,6,12,90,1,3,0
241287,6X12X90 FV VP ABERCAR-APERCAR,6X12X90,FV VP ABERCAR-APERCAR,6,12,90,0,2,0
241288,6X12X90 VP APL-GM5 GGS,6X12X90,VP APL-GM5 GGS,6,12,90,0,2,0
251200,6X12X90 VP APL-STB GGS CAN,6X12X90,VP APL-STB GGS CAN,6,12,90,0,2,0
280013,12X4X90 ORG FV ABERCAR GGS,12X4X90,ORG FV ABERCAR GGS,12,4,90,1,1,0
280045,6X12X90 VP APL-BAN GGS CAN,6X12X90,VP APL-BAN GGS CAN,6,12,90,0,2,0
280052,1X28X90 ORG VP APL-CIN-BAN-STB,1X28X90,ORG VP APL-CIN-BAN-STB,1,28,90,1,4,1
280090,12X4X90 ABLB GGS CAN,12X4X90,ABLB GGS CAN,12,4,90,0,1,0
280103,2X20X90 VP APL-BAN-STB GGS,2X20X90,VP APL-BAN-STB GGS,2,20,90,0,3,0
280104,2X20X90 VP APL-CIN GGS,2X20X90,VP APL-CIN GGS,2,20,90,0,2,1
280105,2X20X90 VP APL-PEC-GM5 GGS,2X20X90,VP APL-PEC-GM5 GGS,2,20,90,0,3,0
280106,2X20X90 VP APL-MNG-BAN GGS,2X20X90,VP APL-MNG-BAN GGS,2,20,90,0,3,0
280107,6X12X90 ORG APL GGS,6X12X90,ORG APL GGS,6,12,90,1,1,0
280121,6X12X90 VP APL-BLB GGS CAN,6X12X90,VP APL-BLB GGS CAN,6,12,90,0,2,0
280128,10X4X90 WALMART F&V ASWPPEC,10X4X90,WALMART F&V ASWPPEC,10,4,90,0,1,0
280129,4X12X90 WALMART ORG ACIN,4X12X90,WALMART ORG ACIN,4,12,90,1,1,1
280130,4X12X90 WALMART ORG APL UNSWT,4X12X90,WALMART ORG APL UNSWT,4,12,90,1,1,0
280131,10X4X90 WALMART F&V ACARBER,10X4X90,WALMART F&V ACARBER,10,4,90,0,1,0
280164,12X4X90 ARSPLEM GGS CAN,12X4X90,ARSPLEM GGS CAN,12,4,90,0,1,0
280166,2X20X90 APL GGS,2X20X90,APL GGS,2,20,90,0,1,0
280169,6X12X90 FV VP APECSWP-ASTBZUC,6X12X90,FV VP APECSWP-ASTBZUC,6,12,90,0,2,0
280181,1X48X90 APL FS CAN,1X48X90,APL FS CAN,1,48,90,0,1,0
280212,1X24X90 ORG VP APL-CIN-BAN-STB,1X24X90,ORG VP APL-CIN-BAN-STB,1,24,90,1,4,1
280213,1X28X90 ORG APL GGS,1X28X90,ORG APL GGS,1,28,90,1,1,0
280222,1X24X90 ORG AP-STB-BAN-PEC CAN,1X24X90,ORG AP-STB-BAN-PEC CAN,1,24,90,1,4,0
280233,2X10X120 BIG VP APL-ARSPSTBVAN,2X10X120,BIG VP APL-ARSPSTBVAN,2,10,120,0,2,0
280234,2X10X120 BIG VP ASTB-PERCINVAN,2X10X120,BIG VP ASTB-PERCINVAN,2,10,120,0,2,1
280235,2X10X120 BIG VP MNGBAN-PINPECO,2X10X120,BIG VP MNGBAN-PINPECO,2,10,120,0,2,0
280244,6X12X90 APL GGS BTS,6X12X90,APL GGS BTS,6,12,90,0,1,0
