block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
naive_ec7ac8bb0c,production,0,P09,0.0,111.732,280586,280586-W0,280586,GGS VP APL-PEC-GM5 4x16x3.2oz,80000.0,False,naive:week0
naive_207d43e77d,production,0,P09,111.732,133.38,570468,570468-W0,570468,GGS VP APL-BAN 2x22x90g CAN,15500.0,False,naive:week0
naive_d4e36d10e5,production,0,P09,168.0,231.017,280583,280583-W1,280583,GGS APL 4x16x3.2oz,45120.0,False,naive:week1
naive_7eebd70fdf,production,0,P09,336.0,377.899,280584,280584-W2,280584,GGS FV VP BER-PEC-PER 4x16x3.2oz DINO,30000.0,False,naive:week2
naive_3c239ed3fa,production,0,P09,377.899,426.148,280586,280586-W2,280586,GGS VP APL-PEC-GM5 4x16x3.2oz,34546.0,False,naive:week2
naive_cce16a2c10,production,2,P11,0.0,24.166,280345,280345-W0,280345,GGS APL APL 6x4x3.2oz,18608.0,False,naive:week0
naive_af3269fe82,production,2,P11,24.166,50.035,280347,280347-W0,280347,GGS APL STB 6x4x3.2oz,19919.0,False,naive:week0
naive_ab9d1be085,production,2,P11,50.035,101.983,280581,280581-W0,280581,GGS FV VP APECSWP-ASTBZUC 6x10x3.2oz,40000.0,False,naive:week0
naive_03556e911f,production,2,P11,101.983,113.671,280602,280602-W0,280602,GGS FV ABERCAR 6x4x3.2oz,9000.0,False,naive:week0
naive_f227791b72,production,2,P11,168.0,206.961,280572,280572-W1,280572,GGS ACIN 6x10x3.2oz,30000.0,False,naive:week1
naive_fd71fd3d44,production,2,P11,206.961,245.922,280580,280580-W1,280580,GGS FV VP APERCAR-ABERCAR 6x10x3.2oz,30000.0,False,naive:week1
naive_5a2c8777af,production,2,P11,336.0,400.935,280572,280572-W2,280572,GGS ACIN 6x10x3.2oz,50000.0,False,naive:week2
naive_e6ee8dd1a1,production,2,P11,400.935,446.321,280581,280581-W2,280581,GGS FV VP APECSWP-ASTBZUC 6x10x3.2oz,34947.0,False,naive:week2
naive_254ec2d2e9,production,2,P11,446.321,476.191,280602,280602-W2,280602,GGS FV ABERCAR 6x4x3.2oz,23000.0,False,naive:week2
naive_b10e46400b,production,3,P12,0.0,21.283,280375,280375-W0,280375,GUTZY ORG ARSPBLBBET 6x8x110g Tray,12940.0,False,naive:week0
naive_25ad472a2f,production,3,P12,21.283,40.691,280397,280397-W0,280397,GUTZY ORGProSmo BlbChrAca 6x8x110g,11800.0,False,naive:week0
naive_1ba6afc3ab,production,4,P13,0.0,13.369,120532,120532-W0,120532,GGS APL STB 12x4x90g CAN,10000.0,False,naive:week0
naive_68bc8ec11c,production,4,P13,168.0,181.96,120450,120450-W1,120450,12X4X90 ORG APL GGS,10442.0,False,naive:week1
naive_9b50bd080e,production,4,P13,181.96,199.63,120532,120532-W1,120532,GGS APL STB 12x4x90g CAN,13217.0,False,naive:week1
naive_e8aa9a8648,production,4,P13,336.0,353.476,120532,120532-W2,120532,GGS APL STB 12x4x90g CAN,13072.0,False,naive:week2
naive_36eb20f31f,production,4,P13,353.476,366.041,120536,120536-W2,120536,GGS APL BER 12x4x90g CAN,9399.0,False,naive:week2
naive_7203f4340f,production,5,P14,336.0,351.318,280090,280090-W2,280090,12X4X90 ABLB GGS CAN,10554.0,False,naive:week2
naive_84c973b054,production,6,P15,0.0,39.444,280605,280605-W0,280605,GGS ACTCHU ACIN 9x4x4.2oz,24850.0,False,naive:week0
naive_48f7a9a4ee,production,6,P15,39.444,71.19,280607,280607-W0,280607,GGS ACTCHU ACIN 6x10x4.2oz,20000.0,False,naive:week0
naive_d542ae2528,production,6,P15,71.19,102.937,280611,280611-W0,280611,GGS SLY BLURSB 9x4x100g,20000.0,False,naive:week0
naive_ce6c89aa2a,production,6,P15,102.937,125.159,280612,280612-W0,280612,GGS SLY STBLEM 9x4x100g,14000.0,False,naive:week0
naive_1d3713e987,production,6,P15,125.159,156.905,280614,280614-W0,280614,GGS SLY STBLEM 6x10x100g,20000.0,False,naive:week0
naive_98f692989b,production,6,P15,168.0,202.635,280348,280348-W1,280348,GGS VP APL-CIN 1x48x3.2oz,21820.0,False,naive:week1
naive_ac3244acd1,production,6,P15,202.635,231.206,280610,280610-W1,280610,GGS ACTCHU ACIN 1x36x120g FS,18000.0,False,naive:week1
naive_256ea6f4e5,production,6,P15,231.206,262.952,280622,280622-W1,280622,GGS ACTCHU TROP 9x4x120g,20000.0,False,naive:week1
naive_52de94acef,production,6,P15,262.952,282.873,280698,280698-W1,280698,GGS SLY BLURSB 1x40x100g FS,12550.0,False,naive:week1
naive_e15baa1a7f,production,6,P15,336.0,352.167,280605,280605-W2,280605,GGS ACTCHU ACIN 9x4x4.2oz,10185.0,False,naive:week2
naive_18ccac1f7b,production,6,P15,352.167,372.537,280607,280607-W2,280607,GGS ACTCHU ACIN 6x10x4.2oz,12833.0,False,naive:week2
naive_30d74b4e99,production,6,P15,372.537,407.6,280617,280617-W2,280617,GGS SLY VP BLURSB-STBLEM 1x18x100g,22090.0,False,naive:week2
naive_aa94846cdd,production,7,P16,0.0,37.5,120463,120463-W0,120463,GGS APL APL 1x48x3.2oz FS,30000.0,False,naive:week0
naive_834339b2fc,production,7,P16,37.5,155.0,280351,280351-W0,280351,KIRKLAND OFV VP STBSPN-MANPECCA 1x24x90g,94000.0,False,naive:week0
naive_a7b80ca49c,production,7,P16,168.0,333.161,280264,280264-W1,280264,6X12X90 WALMRT F&V PEC-BER-STB,132129.0,False,naive:week1
naive_617828b713,production,7,P16,336.0,358.5,280121,280121-W2,280121,6X12X90 VP APL-BLB GGS CAN,18000.0,False,naive:week2
naive_ea65a3ea29,production,7,P16,358.5,383.326,280348,280348-W2,280348,GGS VP APL-CIN 1x48x3.2oz,19861.0,False,naive:week2
naive_a849426c6e,production,7,P16,383.326,427.276,570560,570560-W2,570560,GGS APL 1x48x90g CAN FS,35160.0,False,naive:week2
naive_540e92c779,production,8,P17,0.0,12.38,280563,280563-W0,280563,WALMART FV VP PEC-BER-STBAN-PER 1x24x90g,18000.0,False,naive:week0
naive_75e75b1e82,production,8,P17,12.38,27.992,280564,280564-W0,280564,WALMART VP UNSWT APL-CIN-STB 1x24x90g,22700.0,False,naive:week0
naive_58c9f486d8,production,8,P17,27.992,75.103,280591,280591-W0,280591,GGS VP APL-BAN-STB 1x24x3.2oz,68500.0,False,naive:week0
naive_b6d22ff216,production,8,P17,75.103,87.483,280592,280592-W0,280592,GGS VP APL-CIN 1x24x3.2oz,18000.0,False,naive:week0
naive_558450833c,production,8,P17,168.0,202.388,280107,280107-W1,280107,6X12X90 ORG APL GGS,50000.0,False,naive:week1
naive_241b1947be,production,8,P17,202.388,215.481,280591,280591-W1,280591,GGS VP APL-BAN-STB 1x24x3.2oz,19038.0,False,naive:week1
naive_87d7b97c0f,production,8,P17,336.0,388.915,280480,280480-W2,280480,GGS ORG VP APL-CIN-PEC-STB 1x28x3.2oz,76938.0,False,naive:week2
naive_f52d013e7e,production,8,P17,388.915,467.65,280490,280490-W2,280490,GGS F&V VP ASTBZUC-APERCAR 1x28x3.2oz,114481.0,False,naive:week2
naive_24b2881189,production,8,P17,467.65,489.658,280559,280559-W2,280559,,32000.0,False,naive:week2
naive_152a34305a,production,8,P17,489.658,502.559,280563,280563-W2,280563,WALMART FV VP PEC-BER-STBAN-PER 1x24x90g,18758.0,False,naive:week2
naive_06111aae5e,production,9,P18,0.0,20.188,280212,280212-W0,280212,GGS ORG VP APL-CIN-BAN-STB 1X24x3.2oz,30000.0,False,naive:week0
naive_473e977e05,production,9,P18,20.188,66.958,280421,280421-W0,280421,GGS VP APL-STB-BAN-PEC 2x20x90g - CAN,69500.0,False,naive:week0
naive_dec8027575,production,9,P18,66.958,128.331,280451,280451-W0,280451,GGS VP PINPAS-STB-PER-MAN 2x20x90g CAN,91200.0,False,naive:week0
naive_bad3c7941a,production,9,P18,128.331,161.978,280453,280453-W0,280453,GGS VP APL-GRA-BER 2x20x90g CAN,50000.0,False,naive:week0
naive_5dec5e0314,production,9,P18,168.0,203.666,280213,280213-W1,280213,GGS ORG APL 1x28x3.2oz,53000.0,False,naive:week1
naive_02b9cd081b,production,9,P18,203.666,221.534,280324,280324-W1,280324,GGS VP APL-CIN-STB-GM5 1x32x3.2oz,26552.0,False,naive:week1
