block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
prod_1f005c9f80,production,0,P09,122.0,134.0,280450,280450-W0,280450,6X12X90 TROP MANGVA-PINPAS CAN,,False,
prod_4cdb8a92f0,production,0,P09,135.0,166.0,280478,280478-W0,280478,2X22X90 APL GGS CAN,,False,
prod_25db7f0043,production,0,P09,98.0,121.0,280573,280573-W0,280573,6X10X90 ASTB GGS,,False,
prod_7f3b8b1e1a,production,0,P09,1.0,55.0,280581,280581-W0,280581,6X10X90 FV VP APECSWP-ASTBZUC,,False,
prod_3de7944c57,production,0,P09,76.0,98.0,280581,280581-W0,280581,6X10X90 FV VP APECSWP-ASTBZUC,,False,
prod_b32022a5ee,production,3,P12,1.0,14.0,120534,120534-W0,120534,12X4X90 APEC GGS CAN,,False,
trial_0c1838c0e3,trial,3,P12,31.0,128.0,280613,TRIAL-280613-LP12,280613,6X10X100 SLY BLURSB GGS,,False,
prod_0668ca9d31,production,4,P13,91.0,117.0,120436,120436-W0,120436,6X12X90 APL GGS,,False,
prod_e7106bf33e,production,4,P13,147.0,168.0,120436,120436-W0,120436,6X12X90 APL GGS,,False,
prod_326f2f53a8,production,4,P13,1.0,80.0,120464,120464-W0,120464,6X12X90 VP APL-BAN-STB GGS,,False,
prod_1a8eb8417e,production,4,P13,80.0,91.0,280450,280450-W0,280450,6X12X90 TROP MANGVA-PINPAS CAN,,False,
prod_a28ce2fcc8,production,5,P14,140.0,163.0,120430,120430-W0,120430,12X4X90 APL GGS,,False,
prod_2073e3c260,production,5,P14,117.0,140.0,120431,120431-W0,120431,12X4X90 ASTB GGS,,False,
prod_dbfc40a85c,production,5,P14,1.0,29.0,120433,120433-W0,120433,12X4X90 ACIN GGS,,False,
prod_58e2dc86b7,production,5,P14,101.0,117.0,280090,280090-W0,280090,12X4X90 ABLB GGS CAN,,False,
prod_dc1799e066,production,6,P15,141.0,167.0,120448,120448-W0,120448,6X12X90 ACIN GGS,,False,
prod_d4334263f9,production,6,P15,2.0,40.0,280212,280212-W0,280212,1X24X90 ORG VP APL-CIN-BAN-STB,,False,
prod_c003efe628,production,6,P15,81.0,141.0,280264,280264-W0,280264,6X12X90 WALMRT F&V PEC-BER-STB,,False,
prod_8c4656a446,production,7,P16,124.0,168.0,120436,120436-W0,120436,6X12X90 APL GGS,,False,
prod_7ea1fae0c7,production,7,P16,64.0,124.0,280169,280169-W0,280169,6X12X90 FV VP APECSWP-ASTBZUC,,False,
prod_e07441d335,production,7,P16,1.0,31.0,280264,280264-W0,280264,6X12X90 WALMRT F&V PEC-BER-STB,,False,
prod_0ef1237fcf,production,7,P16,47.0,64.0,280264,280264-W0,280264,6X12X90 WALMRT F&V PEC-BER-STB,,False,
prod_e8cf5c1b9d,production,8,P17,148.0,156.0,120448,120448-W0,120448,6X12X90 ACIN GGS,,False,
prod_955f10419e,production,8,P17,164.0,168.0,120448,120448-W0,120448,6X12X90 ACIN GGS,,False,
prod_e6bf373535,production,8,P17,28.0,45.0,280212,280212-W0,280212,1X24X90 ORG VP APL-CIN-BAN-STB,,False,
prod_d2fba0c9aa,production,8,P17,52.0,147.0,280256,280256-W0,280256,1X24X90 KIRKLAND ORG UNSWT APL,,False,
prod_c7bd1018a3,production,8,P17,2.0,27.0,280480,280480-W0,280480,1X28X90 ORG VP APL-CIN-PEC-STB,,False,
prod_d2edd89265,production,9,P18,145.0,168.0,280104,280104-W0,280104,2X20X90 VP APL-CIN GGS,,False,
prod_ee4fc675f3,production,9,P18,76.0,113.0,280323,280323-W0,280323,1X32X90 APL GGS,,False,
prod_821ff64c97,production,9,P18,1.0,61.0,280324,280324-W0,280324,1X32X90 VP APL-CIN-STB-GM5 GGS,,False,
prod_5b70545381,production,9,P18,114.0,132.0,280591,280591-W0,280591,1X24X90 VP APL-BAN-STB GGS,,False,
prod_7e4f99480e,production,9,P18,132.0,145.0,280592,280592-W0,280592,1X24X90 VP APL-CIN GGS,,False,
prod_3635cb4c87,production,10,P19,2.0,93.0,280351,280351-W0,280351,1X24X90 KIRK ORG STBSPN-MANPEC,,False,
prod_57b8986b47,production,10,P19,111.0,141.0,280351,280351-W0,280351,1X24X90 KIRK ORG STBSPN-MANPEC,,False,
prod_0e3bbe2ec6,production,10,P19,142.0,167.0,280480,280480-W0,280480,1X28X90 ORG VP APL-CIN-PEC-STB,,False,
prod_a01fb0bb99,production,11,P20,76.0,107.0,280166,280166-W0,280166,2X20X90 APL GGS,,False,
prod_9df29c4ab6,production,11,P20,30.0,50.0,280421,280421-W0,280421,2X20X90 VP APL-STB-BAN-PEC CAN,,False,
prod_dc3907fa98,production,11,P20,114.0,148.0,280583,280583-W0,280583,4X16X90 APL GGS,,False,
prod_fbfa4aec91,production,11,P20,51.0,75.0,280586,280586-W0,280586,4X16X90 VP APL-PEC-GM5 GGS,,False,
prod_754c2d9b6d,production,11,P20,2.0,29.0,570261,570261-W0,570261,1X28X90 ORG VP AP-ST-CI-BA CAN,,False,
prod_72f239e273,production,12,P21,1.0,36.0,280451,280451-W0,280451,2X20X90 PINPAS-STB-PER-MAN CAN,,False,
prod_ffa0f585d5,production,12,P21,37.0,110.0,280490,280490-W0,280490,1X28X90 FV VP ASTBZUC-APERCAR,,False,
prod_a5e20d0272,production,12,P21,124.0,164.0,280590,280590-W0,280590,1X24X90 APL GGS,,False,
prod_93684e33a4,production,13,P22,116.0,166.0,280324,280324-W0,280324,1X32X90 VP APL-CIN-STB-GM5 GGS,,False,
prod_2825e09884,production,13,P22,2.0,31.0,570261,570261-W0,570261,1X28X90 ORG VP AP-ST-CI-BA CAN,,False,
prod_72a977ef67,production,13,P22,32.0,62.0,280647,280647-W0,280647,1X24X90 VP APL-MAN-BAN DIS26,,False,
prod_d71a88ece3,production,0,P09,298.0,336.0,241287,241287-W1,241287,6X12X90 FV VP ABERCAR-APERCAR,,False,
prod_1b0c10bef4,production,0,P09,193.0,258.0,280344,280344-W1,280344,2X20X90 FV VP BER-PEC-PER DINO,,False,
