block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
prod_3194b1671a,production,0,P09,177.0,197.0,280212,280212-W0,280212,GGS ORG VP APL-CIN-BAN-STB 1X24x3.2oz,,False,
prod_f1218e2115,production,0,P09,101.0,108.0,280450,280450-W0,280450,GGS TROP VP MANGVA-PINPAS 6x12x90g CAN,,False,
prod_06d12eb367,production,0,P09,168.0,177.0,280450,280450-W0,280450,GGS TROP VP MANGVA-PINPAS 6x12x90g CAN,,False,
prod_216d62965e,production,0,P09,79.0,101.0,280453,280453-W0,280453,GGS VP APL-GRA-BER 2x20x90g CAN,,False,
prod_4e7c326d7f,production,0,P09,114.0,168.0,280453,280453-W0,280453,GGS VP APL-GRA-BER 2x20x90g CAN,,False,
prod_1c60f6e8d3,production,0,P09,283.0,333.0,120437,120437-W1,120437,6X12X90 ASTB GGS,,False,
prod_c27db0f726,production,0,P09,240.0,255.0,251200,251200-W1,251200,6X12X90 VP APL-STB GGS CAN,,False,
prod_3ab768ca2b,production,0,P09,333.0,352.0,280324,280324-W1,280324,GGS VP APL-CIN-STB-GM5 1x32x3.2oz,,False,
prod_d32c95966a,production,0,P09,365.0,370.0,280324,280324-W1,280324,GGS VP APL-CIN-STB-GM5 1x32x3.2oz,,False,
prod_52d54b733e,production,0,P09,197.0,209.0,280421,280421-W1,280421,GGS VP APL-STB-BAN-PEC 2x20x90g - CAN,,False,
prod_21d555651e,production,0,P09,255.0,266.0,280421,280421-W1,280421,GGS VP APL-STB-BAN-PEC 2x20x90g - CAN,,False,
prod_71df97da4d,production,0,P09,276.0,280.0,120437,120437-W2,120437,6X12X90 ASTB GGS,,False,
prod_a7414d7d15,production,0,P09,470.0,484.0,120437,120437-W2,120437,6X12X90 ASTB GGS,,False,
prod_53056e2b86,production,0,P09,352.0,359.0,280104,280104-W2,280104,2X20X90 VP APL-CIN GGS,,False,
prod_d1b4eeeb89,production,0,P09,427.0,470.0,280104,280104-W2,280104,2X20X90 VP APL-CIN GGS,,False,
prod_f415f2ec1c,production,0,P09,230.0,234.0,280421,280421-W2,280421,GGS VP APL-STB-BAN-PEC 2x20x90g - CAN,,False,
prod_802ee78518,production,0,P09,370.0,427.0,280421,280421-W2,280421,GGS VP APL-STB-BAN-PEC 2x20x90g - CAN,,False,
prod_e5be2fbba9,production,0,P09,221.0,230.0,280566,280566-W2,280566,WALMART FV VP PERZU-MANPU-STBSQ 6x12x90g,,False,
prod_c49261fa65,production,0,P09,266.0,276.0,280566,280566-W2,280566,WALMART FV VP PERZU-MANPU-STBSQ 6x12x90g,,False,
prod_15feaf46e9,production,0,P09,209.0,221.0,570468,29901|CUR,570468,GGS VP APL-BAN 2x22x90g CAN,,False,
prod_4f28dc8d21,production,0,P09,280.0,283.0,570468,29901|CUR,570468,GGS VP APL-BAN 2x22x90g CAN,,False,
prod_2b588bbc56,production,0,P09,24.0,49.0,280450,29900|CUR,280450,GGS TROP VP MANGVA-PINPAS 6x12x90g CAN,,False,
prod_9f782ed751,production,0,P09,49.0,79.0,280581,29899|CUR,280581,GGS FV VP APECSWP-ASTBZUC 6x10x3.2oz,,False,
prod_4498dc67e1,production,1,P10,346.0,447.0,280351,280351-W2,280351,KIRKLAND OFV VP STBSPN-MANPECCA 1x24x90g,,False,
prod_0477a1b4c3,production,1,P10,453.0,504.0,280351,280351-W2,280351,KIRKLAND OFV VP STBSPN-MANPECCA 1x24x90g,,False,
prod_c3e639363b,production,1,P10,159.0,297.0,280351,29902|CUR,280351,KIRKLAND OFV VP STBSPN-MANPECCA 1x24x90g,,False,
prod_bd27f052d7,production,1,P10,303.0,346.0,280351,29902|CUR,280351,KIRKLAND OFV VP STBSPN-MANPECCA 1x24x90g,,False,
prod_3217684173,production,3,P12,15.0,29.0,120532,120532-W0,120532,GGS APL STB 12x4x90g CAN,,False,
prod_3ef12c6aeb,production,3,P12,111.0,115.0,120532,120532-W0,120532,GGS APL STB 12x4x90g CAN,,False,
prod_8a817279ae,production,3,P12,29.0,41.0,280612,280612-W0,280612,GGS SLY STBLEM 9x4x100g,,False,
prod_ca63856030,production,3,P12,94.0,104.0,280612,280612-W0,280612,GGS SLY STBLEM 9x4x100g,,False,
prod_72c67ec93a,production,3,P12,104.0,111.0,280614,280614-W0,280614,GGS SLY STBLEM 6x10x100g,,False,
prod_79f21ff887,production,3,P12,335.0,364.0,280614,280614-W0,280614,GGS SLY STBLEM 6x10x100g,,False,
prod_87ad60c09d,production,3,P12,10.0,15.0,280607,280607-W0,280607,GGS ACTCHU ACIN 6x10x4.2oz,,False,
prod_a6d8a4df0b,production,3,P12,364.0,395.0,280607,280607-W0,280607,GGS ACTCHU ACIN 6x10x4.2oz,,False,
prod_397e77d191,production,3,P12,128.0,132.0,120450,120450-W1,120450,12X4X90 ORG APL GGS,,False,
prod_8578155b54,production,3,P12,297.0,305.0,120450,120450-W1,120450,12X4X90 ORG APL GGS,,False,
prod_2d065275cc,production,3,P12,241.0,268.0,280622,280622-W1,280622,GGS ACTCHU TROP 9x4x120g,,False,
prod_36c7d94c87,production,3,P12,330.0,335.0,280622,280622-W1,280622,GGS ACTCHU TROP 9x4x120g,,False,
prod_139d40028b,production,3,P12,132.0,136.0,280698,280698-W1,280698,GGS SLY BLURSB 1x40x100g FS,,False,
prod_9e510c4fc1,production,3,P12,279.0,297.0,280698,280698-W1,280698,GGS SLY BLURSB 1x40x100g FS,,False,
prod_ac91c31d12,production,3,P12,268.0,272.0,120437,120437-W2,120437,6X12X90 ASTB GGS,,False,
prod_58135e7cbe,production,3,P12,420.0,431.0,120437,120437-W2,120437,6X12X90 ASTB GGS,,False,
prod_84900a643b,production,3,P12,272.0,279.0,280090,280090-W2,280090,12X4X90 ABLB GGS CAN,,False,
prod_5b9cb4eaba,production,3,P12,408.0,420.0,280090,280090-W2,280090,12X4X90 ABLB GGS CAN,,False,
prod_3b9f08a0a0,production,3,P12,395.0,408.0,280605,280605-W2,280605,GGS ACTCHU ACIN 9x4x4.2oz,,False,
