line_id,line_name,initial_sku,available_from_hour,long_shutdown_flag,long_shutdown_extra_setup_hours,carryover_run_hours_since_last_cip_at_t0,last_cip_end_datetime,comment
0,P09,241287,0,0,0,38,2026-02-27 10:00:00,Auto from week-0 run
1,P10,CLEAN,0,0,0,0,,Auto from week-0 run
2,P11,CLEAN,0,0,0,0,,Auto from week-0 run
3,P12,120448,0,0,0,59,2026-02-26 12:00:00,Auto from week-0 run
4,P13,241287,0,0,0,38,2026-02-27 09:00:00,Auto from week-0 run
5,P14,120430,0,0,0,109,2026-02-24 11:00:00,Auto from week-0 run
6,P15,280480,0,0,0,119,2026-02-23 22:00:00,Auto from week-0 run
7,P16,280351,0,0,0,119,2026-02-23 05:00:00,Auto from week-0 run
8,P17,280105,0,0,0,90,2026-02-25 05:00:00,Auto from week-0 run
9,P18,280166,0,0,0,96,2026-02-25 00:00:00,Auto from week-0 run
10,P19,280256,0,0,0,99,2026-02-24 21:00:00,Auto from week-0 run
11,P20,280480,0,0,0,95,2026-02-25 00:00:00,Auto from week-0 run
12,P21,280166,0,0,0,84,2026-02-25 12:00:00,Auto from week-0 run
13,P22,120448,0,0,0,93,2026-02-25 02:00:00,Auto from week-0 run
